,AIR_INTAKE_TEMP,AMBIENT_AIR_TEMP,ENGINE_COOLANT_TEMP,ENGINE_LOAD,EQUIV_RATIO,MAF,SPEED,THROTTLE_POS,FUEL_LEVEL,INTAKE_MANIFOLD_PRESSURE,ENGINE_RPM
204,31.0,4.0,82.0,36.9,1.0,8.46,30.0,27.1,54.9,37.0,1538
205,31.0,4.0,82.0,45.1,1.0,9.82,30.0,28.2,55.3,39.0,1484
206,31.0,4.0,82.0,48.2,1.0,10.4,30.0,29.0,55.3,40.0,1479
207,31.0,4.0,82.0,47.1,1.0,10.56,31.0,29.0,55.7,30.0,1518
208,32.0,4.0,82.0,20.4,1.0,1.98,29.0,18.8,55.7,36.0,998
209,32.0,4.0,82.0,41.2,1.0,3.9,26.0,17.6,55.7,25.0,950
210,33.0,4.0,83.0,40.8,1.0,4.26,20.0,19.6,55.7,22.0,771
211,33.0,4.0,83.0,22.4,1.0,3.21,15.0,19.2,55.3,29.0,928
212,33.0,4.0,83.0,37.6,1.0,4.36,11.0,21.6,55.3,34.0,720
213,33.0,4.0,83.0,40.4,1.0,4.69,6.0,20.8,55.3,33.0,789
214,33.0,4.0,83.0,34.5,1.0,3.83,3.0,20.0,54.9,31.0,810
215,33.0,4.0,83.0,38.8,1.0,4.06,1.0,20.4,54.9,33.0,793
216,33.0,4.0,83.0,38.4,1.0,4.3,0.0,20.4,54.9,33.0,798
217,33.0,4.0,83.0,36.9,1.0,4.34,0.0,20.4,54.9,31.0,805
218,33.0,4.0,83.0,36.9,1.0,3.94,0.0,20.4,55.3,31.0,809
219,33.0,4.0,83.0,36.5,1.0,4.27,0.0,20.4,55.3,32.0,801
220,33.0,4.0,83.0,38.0,1.0,4.29,0.0,20.4,55.3,31.0,804
222,33.0,4.0,83.0,37.3,1.0,4.26,0.0,20.4,55.7,31.0,779
223,33.0,4.0,83.0,40.4,1.0,4.31,0.0,20.4,55.7,38.0,786
224,32.0,4.0,84.0,79.6,1.0,7.95,13.0,28.6,55.7,48.0,723
225,31.0,4.0,84.0,55.3,1.0,12.74,23.0,30.6,56.9,56.0,1196
227,31.0,4.0,84.0,66.7,1.0,13.04,31.0,30.6,57.3,52.0,1330
229,31.0,4.0,85.0,51.8,1.0,8.4,33.0,27.1,57.6,43.0,1108
230,31.0,4.0,85.0,51.0,1.0,8.21,33.0,26.7,57.6,44.0,1111
231,31.0,4.0,86.0,50.6,1.0,8.39,34.0,27.1,57.3,45.0,1122
232,31.0,4.0,86.0,54.5,1.0,8.88,34.0,27.5,57.3,45.0,1122
233,31.0,4.0,86.0,52.2,1.0,8.78,35.0,27.5,57.3,45.0,1144
234,31.0,4.0,86.0,51.8,1.0,8.97,37.0,27.5,57.3,44.0,1210
235,31.0,4.0,85.0,49.8,1.0,9.31,39.0,27.8,57.3,43.0,1256
236,31.0,4.0,85.0,51.0,1.0,9.48,39.0,28.2,57.3,42.0,1296
238,31.0,4.0,85.0,46.7,1.0,12.1,34.0,29.8,57.3,45.0,1766
239,31.0,4.0,84.0,53.7,1.0,13.35,32.0,30.6,57.3,46.0,1666
241,30.0,4.0,84.0,55.3,1.0,13.76,37.0,30.6,57.6,43.0,1683
243,31.0,4.0,84.0,47.5,1.0,8.44,38.0,27.1,57.6,39.0,1236
244,31.0,4.0,84.0,47.8,1.0,8.71,38.0,27.5,57.6,41.0,1268
245,31.0,4.0,84.0,45.9,1.0,8.84,39.0,27.5,57.6,20.0,1296
247,31.0,4.0,84.0,44.7,1.0,7.75,37.0,26.3,56.9,38.0,1219
249,31.0,4.0,84.0,52.2,1.0,9.87,40.0,28.6,56.9,21.0,1325
250,32.0,4.0,84.0,18.0,1.0,3.3,37.0,19.2,56.5,21.0,1304
251,31.0,4.0,84.0,20.0,1.0,3.43,36.0,20.0,56.5,35.0,1209
252,31.0,4.0,84.0,38.8,1.0,4.79,38.0,20.0,56.1,31.0,1234
253,31.0,4.0,83.0,27.1,1.0,5.0,38.0,22.4,56.1,19.0,1269
254,31.0,4.0,83.0,18.0,1.0,3.48,39.0,20.4,55.7,25.0,1270
255,31.0,4.0,83.0,28.6,1.0,5.43,38.0,23.1,55.7,33.0,1295
