,AIR_INTAKE_TEMP,AMBIENT_AIR_TEMP,ENGINE_COOLANT_TEMP,ENGINE_LOAD,EQUIV_RATIO,MAF,SPEED,THROTTLE_POS,FUEL_LEVEL,INTAKE_MANIFOLD_PRESSURE,ENGINE_RPM
201,31.0,4.0,84.0,47.5,1.0,8.44,38.0,27.1,57.6,39.0,1236
217,31.0,4.0,82.0,18.0,1.0,4.72,34.0,22.4,56.1,18.0,1758
160,33.0,4.0,82.0,21.2,1.0,3.58,32.0,19.2,55.3,21.0,1113
233,32.0,4.0,82.0,38.8,1.0,4.23,10.0,20.4,52.5,47.0,801
377,31.0,7.0,92.0,100.0,0.0,44.5,49.0,83.5,51.4,19.0,2342
457,31.0,9.0,85.0,19.2,1.0,3.46,38.0,18.0,43.5,102.0,1259
117,32.0,4.0,82.0,32.9,1.0,8.54,36.0,27.5,55.7,29.0,1751
333,35.0,4.0,90.0,43.1,1.0,7.3,35.0,25.9,54.9,36.0,1169
379,31.0,7.0,85.0,17.3,1.0,6.07,69.0,24.3,51.0,18.0,2346
212,31.0,4.0,84.0,44.7,1.0,7.75,37.0,26.3,56.9,38.0,1219
442,32.0,9.0,86.0,43.9,1.0,4.72,0.0,21.2,43.9,37.0,784
680,30.0,16.0,90.0,18.0,1.0,9.07,69.0,29.8,41.2,92.0,3373
461,30.0,9.0,88.0,100.0,0.0,17.36,104.0,31.8,50.6,101.0,4870
570,28.0,13.0,87.0,100.0,0.0,97.47,103.0,83.5,43.9,98.0,4610
182,33.0,4.0,83.0,22.4,1.0,3.21,15.0,19.2,55.3,29.0,928
341,30.0,4.0,82.0,100.0,1.0,21.97,54.0,36.1,50.6,83.0,1384
42,33.0,4.0,82.0,19.6,1.0,3.17,34.0,18.8,58.4,21.0,1060
308,33.0,4.0,89.0,38.8,1.0,4.27,0.0,20.4,54.1,34.0,808
537,29.0,11.0,85.0,100.0,0.0,70.75,132.0,83.5,43.5,97.0,3571
489,30.0,9.0,87.0,16.9,1.0,7.48,45.0,25.9,43.9,18.0,3043
703,29.0,17.0,92.0,18.0,1.0,10.9,18.0,29.4,38.4,19.0,4157
267,32.0,4.0,83.0,27.5,1.0,3.89,29.0,19.6,54.9,24.0,1035
724,30.0,16.0,90.0,18.0,1.0,10.43,71.0,29.0,39.2,19.0,3798
328,34.0,4.0,97.0,42.4,1.0,4.67,0.0,21.6,54.1,32.0,792
365,32.0,7.0,90.0,16.9,1.0,3.88,35.0,20.4,47.8,31.0,1363
572,29.0,11.0,85.0,17.6,1.0,3.51,20.0,19.2,35.7,22.0,1379
501,30.0,10.0,86.0,17.6,1.0,2.95,21.0,19.2,43.1,20.0,1339
496,30.0,10.0,86.0,18.8,1.0,15.44,74.0,33.3,45.1,19.0,3460
59,35.0,4.0,82.0,36.1,1.0,4.26,0.0,20.4,54.5,33.0,803
396,31.0,8.0,83.0,24.3,1.0,8.33,40.0,28.2,46.7,99.0,1561
17,32.0,4.0,84.0,30.2,1.0,7.09,32.0,25.5,56.1,28.0,1579
45,33.0,4.0,82.0,19.2,1.0,3.73,39.0,20.8,56.9,20.0,1321
339,31.0,4.0,94.0,25.9,1.0,10.41,43.0,29.8,53.7,51.0,1668
515,30.0,10.0,86.0,76.1,1.0,20.85,53.0,33.3,46.3,101.0,2375
443,30.0,9.0,83.0,100.0,0.0,65.34,82.0,83.5,45.9,100.0,3076
543,29.0,12.0,84.0,19.6,1.0,7.28,20.0,25.9,36.9,20.0,2579
180,32.0,4.0,82.0,41.2,1.0,3.9,26.0,17.6,55.7,25.0,950
418,31.0,9.0,83.0,100.0,0.0,69.18,69.0,83.5,47.5,21.0,3378
359,30.0,4.0,82.0,72.5,1.0,16.57,55.0,32.2,51.8,58.0,1475
406,32.0,9.0,85.0,45.5,1.0,5.16,9.0,23.5,42.0,29.0,726
500,30.0,10.0,86.0,17.6,1.0,7.63,66.0,25.9,46.7,19.0,2840
603,31.0,14.0,89.0,40.4,1.0,4.27,0.0,20.4,39.6,32.0,791
712,30.0,16.0,91.0,18.4,0.0,13.97,59.0,30.6,38.0,99.0,5218
753,31.0,17.0,96.0,39.6,1.0,4.53,0.0,20.8,33.7,32.0,797
76,33.0,4.0,83.0,19.6,1.0,3.61,23.0,20.4,56.1,20.0,1282
