,AIR_INTAKE_TEMP,AMBIENT_AIR_TEMP,ENGINE_COOLANT_TEMP,ENGINE_LOAD,EQUIV_RATIO,MAF,SPEED,THROTTLE_POS,FUEL_LEVEL,INTAKE_MANIFOLD_PRESSURE,ENGINE_RPM
692,32.0,15.0,96.0,35.7,1.0,4.03,0.0,20.0,40.0,31.0,796
368,30.0,7.0,88.0,25.1,1.0,22.18,60.0,33.7,49.0,69.0,2096
32,32.0,4.0,80.0,38.8,1.0,6.32,34.0,24.7,55.3,40.0,1097
637,31.0,14.0,89.0,36.9,1.0,4.12,0.0,20.0,37.3,31.0,805
44,33.0,4.0,82.0,19.2,1.0,3.54,39.0,20.4,57.3,20.0,1245
563,29.0,13.0,87.0,99.2,0.0,73.24,156.0,42.7,45.1,51.0,5288
75,33.0,4.0,84.0,18.0,1.0,4.01,27.0,21.2,56.5,21.0,1442
378,31.0,7.0,92.0,20.4,1.0,7.08,55.0,25.5,51.4,96.0,2278
8,31.0,4.0,89.0,61.2,1.0,12.41,20.0,30.2,60.4,50.0,1384
175,33.0,4.0,83.0,37.6,1.0,4.36,11.0,21.6,55.3,34.0,720
708,31.0,17.0,96.0,51.0,1.0,10.69,6.0,31.8,32.2,27.0,762
522,30.0,10.0,87.0,18.4,1.0,11.69,73.0,29.8,47.5,19.0,4216
482,30.0,9.0,85.0,17.6,1.0,9.63,57.0,28.2,46.7,18.0,3648
634,30.0,15.0,93.0,100.0,1.0,56.19,37.0,83.5,37.6,95.0,2454
597,29.0,13.0,87.0,99.2,0.0,73.24,156.0,42.7,45.1,51.0,5288
535,29.0,11.0,85.0,100.0,0.0,75.8,136.0,83.5,43.9,96.0,3720
614,29.0,13.0,88.0,100.0,0.0,47.2,67.0,83.5,40.0,95.0,2438
133,31.0,4.0,82.0,69.8,1.0,19.96,27.0,32.5,56.1,55.0,1867
600,31.0,14.0,88.0,37.6,1.0,4.19,0.0,20.0,36.1,32.0,804
348,31.0,4.0,82.0,35.7,1.0,7.47,49.0,24.7,53.7,30.0,1411
230,31.0,4.0,82.0,17.6,1.0,4.39,29.0,21.6,55.3,19.0,1621
87,32.0,4.0,85.0,51.4,1.0,8.4,34.0,27.1,57.3,18.0,1226
609,29.0,13.0,88.0,39.6,1.0,23.84,77.0,35.3,40.4,18.0,3991
355,31.0,6.0,89.0,75.7,1.0,8.24,18.0,28.2,49.8,42.0,845
51,34.0,4.0,82.0,26.3,1.0,3.56,33.0,19.2,56.1,24.0,930
35,32.0,4.0,81.0,76.1,1.0,16.44,30.0,32.2,56.5,64.0,1481
668,31.0,15.0,93.0,40.0,1.0,4.42,0.0,20.4,32.9,31.0,767
154,31.0,4.0,83.0,59.6,1.0,11.72,30.0,29.8,55.7,32.0,1346
654,32.0,15.0,97.0,41.2,1.0,4.56,10.0,20.8,41.2,67.0,780
468,31.0,9.0,87.0,99.2,1.0,28.05,13.0,37.3,48.2,20.0,1797
357,31.0,4.0,82.0,42.4,1.0,8.19,49.0,29.0,50.2,87.0,1202
467,30.0,9.0,86.0,100.0,0.0,69.83,82.0,83.1,45.5,97.0,3388
27,32.0,4.0,81.0,49.4,1.0,7.81,32.0,26.7,55.3,33.0,1092
41,32.0,4.0,81.0,68.2,1.0,13.69,25.0,29.8,59.2,20.0,1540
461,30.0,9.0,86.0,18.4,1.0,7.68,76.0,26.3,49.4,19.0,2807
70,33.0,4.0,84.0,36.5,1.0,4.04,29.0,18.4,58.4,24.0,963
643,30.0,14.0,91.0,100.0,0.0,97.07,65.0,83.5,46.7,97.0,4562
569,28.0,13.0,86.0,100.0,0.0,79.28,90.0,83.5,40.8,97.0,3843
122,34.0,4.0,82.0,36.9,1.0,4.11,0.0,20.4,54.1,33.0,797
348,32.0,3.0,83.0,20.0,1.0,5.94,54.0,23.9,51.4,20.0,2058
715,30.0,16.0,91.0,100.0,1.0,55.74,90.0,47.5,43.9,65.0,2894
366,30.0,7.0,88.0,100.0,1.0,43.1,41.0,53.3,44.7,32.0,1912
635,30.0,15.0,93.0,100.0,0.0,76.81,66.0,83.5,40.8,97.0,3732
108,32.0,4.0,83.0,62.7,1.0,16.6,41.0,32.2,55.3,53.0,1778
383,30.0,8.0,83.0,88.2,1.0,24.97,61.0,35.3,48.2,67.0,1953
669,31.0,15.0,93.0,36.9,1.0,3.86,0.0,19.6,33.7,31.0,815
28,33.0,4.0,81.0,60.4,1.0,10.3,28.0,29.0,54.9,48.0,1212
196,31.0,4.0,84.0,66.7,1.0,13.04,31.0,30.6,57.3,52.0,1330
486,30.0,9.0,88.0,100.0,0.0,71.21,106.0,83.5,50.6,18.0,3534
644,30.0,14.0,92.0,100.0,1.0,70.11,75.0,83.5,48.6,19.0,3418
174,33.0,4.0,83.0,22.4,1.0,3.21,15.0,19.2,55.3,29.0,928
623,29.0,14.0,88.0,17.6,1.0,8.9,58.0,27.1,41.6,18.0,3229
676,30.0,15.0,95.0,49.4,1.0,25.28,98.0,34.5,47.1,18.0,3419
594,28.0,12.0,87.0,100.0,0.0,101.18,153.0,83.5,44.3,98.0,4965
231,31.0,4.0,83.0,15.3,1.0,3.03,39.0,20.0,57.3,20.0,1304
134,31.0,4.0,82.0,60.4,1.0,12.29,32.0,30.2,56.5,47.0,1391
118,32.0,4.0,82.0,19.6,1.0,3.5,34.0,18.8,55.7,36.0,1183
742,29.0,17.0,90.0,100.0,0.0,81.62,68.0,83.5,37.6,95.0,3923
209,31.0,4.0,84.0,47.5,1.0,8.44,38.0,27.1,57.6,39.0,1236
175,31.0,4.0,82.0,36.9,1.0,8.46,30.0,27.1,54.9,37.0,1538
153,31.0,4.0,83.0,20.8,1.0,3.17,25.0,20.0,56.9,20.0,1424
62,35.0,4.0,82.0,36.1,1.0,4.26,0.0,20.4,54.5,33.0,803
644,30.0,15.0,93.0,64.7,1.0,26.48,38.0,34.9,38.8,23.0,3009
291,32.0,4.0,84.0,20.8,1.0,2.53,16.0,17.3,56.5,38.0,940
496,30.0,9.0,85.0,16.9,1.0,7.29,85.0,25.9,45.9,61.0,2851
709,31.0,17.0,96.0,34.9,1.0,3.55,0.0,19.2,32.2,38.0,795
508,30.0,9.0,85.0,18.4,1.0,6.44,22.0,24.7,43.1,19.0,2377
335,31.0,4.0,83.0,18.0,1.0,3.97,50.0,21.2,52.9,20.0,1467
714,30.0,16.0,91.0,100.0,1.0,68.52,87.0,45.1,43.1,73.0,3832
652,30.0,14.0,95.0,61.6,1.0,19.98,28.0,32.5,41.2,49.0,3026
672,30.0,15.0,93.0,100.0,0.0,76.81,66.0,83.5,40.8,97.0,3732
614,31.0,14.0,94.0,36.9,1.0,3.9,0.0,20.0,38.4,34.0,812
266,31.0,4.0,82.0,30.2,1.0,5.58,25.0,24.7,52.9,39.0,1154
589,28.0,12.0,88.0,100.0,0.0,104.4,157.0,79.2,47.8,97.0,5133
591,30.0,14.0,88.0,48.2,1.0,4.97,26.0,22.0,36.5,30.0,739
291,33.0,4.0,88.0,38.8,1.0,4.38,0.0,20.8,54.1,33.0,794
367,30.0,4.0,83.0,35.7,1.0,20.16,70.0,34.5,52.5,90.0,2255
472,30.0,9.0,88.0,100.0,1.0,71.73,79.0,83.5,52.9,99.0,4343
80,33.0,4.0,84.0,18.0,1.0,4.01,27.0,21.2,56.5,21.0,1442
204,31.0,4.0,85.0,51.0,1.0,9.48,39.0,28.2,57.3,42.0,1296
690,29.0,16.0,89.0,100.0,1.0,65.85,79.0,83.5,38.4,100.0,3174
55,34.0,4.0,82.0,40.8,1.0,4.36,0.0,20.8,55.3,35.0,788
580,29.0,13.0,88.0,100.0,0.0,47.2,67.0,83.5,40.0,95.0,2438
7,32.0,4.0,89.0,62.4,1.0,9.48,15.0,28.2,60.0,53.0,1080
272,31.0,4.0,84.0,62.7,1.0,10.65,26.0,29.4,55.3,52.0,1308
506,30.0,9.0,85.0,100.0,1.0,64.56,76.0,52.2,45.1,46.0,3322
454,31.0,9.0,85.0,19.6,1.0,5.75,27.0,23.5,45.5,32.0,2051
374,31.0,7.0,87.0,17.6,1.0,4.12,58.0,22.0,50.2,90.0,1586
251,31.0,4.0,83.0,36.9,1.0,8.89,32.0,27.5,55.3,22.0,1626
548,29.0,10.0,88.0,18.0,1.0,10.36,109.0,29.0,47.8,96.0,3824
87,32.0,4.0,84.0,69.0,1.0,11.82,17.0,30.2,58.0,19.0,1183
372,31.0,7.0,87.0,71.4,1.0,19.53,68.0,32.9,51.0,47.0,1860
59,34.0,4.0,82.0,36.9,1.0,4.38,0.0,20.4,54.9,34.0,818
666,31.0,15.0,96.0,23.1,1.0,12.02,41.0,33.3,38.4,97.0,1942
483,30.0,9.0,88.0,100.0,0.0,109.97,79.0,35.3,46.7,100.0,5517
335,35.0,4.0,89.0,39.6,1.0,6.79,36.0,25.1,54.9,32.0,1188
585,29.0,12.0,88.0,100.0,0.0,98.74,147.0,83.5,49.0,96.0,4761
342,32.0,4.0,82.0,47.8,1.0,11.88,51.0,29.0,53.7,32.0,1748
311,33.0,4.0,91.0,38.4,1.0,4.31,0.0,20.4,54.1,32.0,800
213,31.0,4.0,84.0,52.2,1.0,9.87,40.0,28.6,56.9,21.0,1325
96,33.0,4.0,83.0,20.8,1.0,3.42,24.0,19.6,55.7,48.0,1160
699,29.0,17.0,90.0,17.6,1.0,13.92,54.0,30.6,40.8,17.0,5264
241,31.0,4.0,83.0,19.6,1.0,3.62,39.0,20.4,56.9,21.0,1301
349,31.0,4.0,82.0,22.4,1.0,2.32,45.0,20.0,53.3,21.0,1308
55,33.0,4.0,82.0,28.6,1.0,3.0,31.0,19.6,55.7,75.0,796
26,32.0,4.0,81.0,49.4,1.0,7.81,32.0,26.7,55.3,33.0,1092
477,30.0,9.0,84.0,22.7,0.0,15.05,78.0,32.2,42.7,97.0,5523
33,33.0,4.0,81.0,43.1,1.0,7.39,27.0,26.3,55.3,57.0,1251
535,31.0,10.0,88.0,41.6,1.0,4.52,4.0,20.4,44.7,74.0,815
180,33.0,4.0,83.0,36.9,1.0,4.34,0.0,20.4,54.9,31.0,805
459,30.0,9.0,85.0,26.7,0.0,75.94,71.0,83.5,47.8,21.0,4438
184,33.0,4.0,83.0,40.4,1.0,4.69,6.0,20.8,55.3,33.0,789
749,31.0,17.0,95.0,34.9,1.0,4.04,14.0,19.6,33.3,34.0,815
521,29.0,10.0,86.0,100.0,0.0,83.49,87.0,83.5,48.2,18.0,3992
404,31.0,9.0,85.0,42.4,1.0,4.68,23.0,21.2,42.7,26.0,768
581,29.0,12.0,86.0,100.0,0.0,105.08,112.0,83.5,47.8,98.0,5045
678,30.0,16.0,91.0,100.0,0.0,69.99,82.0,83.5,40.0,97.0,3406
449,30.0,9.0,83.0,100.0,0.0,60.42,54.0,83.5,42.0,37.0,2756
474,30.0,9.0,89.0,100.0,1.0,56.45,102.0,41.2,54.1,18.0,3475
232,32.0,4.0,82.0,21.6,1.0,3.6,15.0,19.6,54.5,37.0,1169
252,31.0,4.0,82.0,36.1,1.0,5.24,33.0,23.1,55.3,30.0,1070
481,30.0,9.0,85.0,100.0,1.0,64.56,76.0,52.2,45.1,46.0,3322
754,32.0,17.0,97.0,0.0,1.0,0.0,0.0,23.9,34.5,100.0,0
155,32.0,4.0,83.0,56.1,1.0,9.02,26.0,27.1,55.7,20.0,1207
222,31.0,4.0,82.0,17.6,1.0,4.39,29.0,21.6,55.3,19.0,1621
304,34.0,4.0,94.0,36.9,1.0,4.14,0.0,20.4,54.5,33.0,802
299,33.0,4.0,86.0,38.4,1.0,4.13,7.0,20.4,54.5,32.0,776
214,32.0,4.0,84.0,18.0,1.0,3.3,37.0,19.2,56.5,21.0,1304
375,31.0,7.0,86.0,100.0,1.0,28.26,65.0,45.1,50.6,94.0,1638
457,31.0,9.0,88.0,79.2,1.0,17.22,25.0,31.4,40.0,101.0,1100
557,29.0,11.0,85.0,100.0,0.0,93.44,138.0,83.5,47.8,99.0,4527
233,31.0,4.0,83.0,19.2,1.0,3.52,37.0,20.4,56.5,20.0,1284
202,31.0,4.0,86.0,51.8,1.0,8.97,37.0,27.5,57.3,44.0,1210
207,31.0,4.0,84.0,20.0,1.0,3.43,36.0,20.0,56.5,35.0,1209
187,31.0,4.0,84.0,55.3,1.0,12.74,23.0,30.6,56.9,56.0,1196
37,32.0,4.0,81.0,77.6,1.0,17.64,31.0,32.5,58.8,59.0,1561
18,32.0,4.0,84.0,31.8,1.0,7.1,32.0,25.5,56.1,28.0,1572
158,32.0,4.0,83.0,15.3,1.0,4.0,33.0,22.0,55.7,20.0,1570
466,30.0,9.0,86.0,100.0,0.0,46.71,65.0,83.1,42.7,100.0,2429
49,33.0,4.0,82.0,19.2,1.0,3.54,33.0,20.4,56.5,21.0,1260
440,31.0,9.0,83.0,100.0,0.0,69.18,69.0,83.5,47.5,21.0,3378
520,29.0,10.0,88.0,100.0,1.0,72.88,119.0,83.5,47.1,101.0,3664
580,29.0,12.0,85.0,100.0,0.0,91.68,99.0,83.5,45.5,96.0,4273
288,33.0,4.0,87.0,36.5,1.0,4.26,4.0,20.4,54.5,36.0,772
385,31.0,8.0,83.0,27.1,1.0,4.94,37.0,23.1,49.4,21.0,1987
111,32.0,4.0,82.0,41.6,1.0,9.46,32.0,27.8,55.3,23.0,1543
601,31.0,14.0,89.0,36.9,1.0,4.12,0.0,20.0,37.3,31.0,805
292,32.0,4.0,85.0,28.2,1.0,2.94,15.0,17.6,56.1,36.0,824
14,33.0,4.0,88.0,21.6,1.0,3.81,34.0,19.2,58.4,20.0,1098
237,31.0,4.0,83.0,69.0,1.0,10.39,31.0,29.0,57.3,61.0,1059
694,32.0,15.0,97.0,35.7,1.0,3.96,0.0,20.0,40.8,36.0,799
705,31.0,15.0,97.0,19.2,1.0,6.81,45.0,25.1,41.2,50.0,2347
560,28.0,12.0,87.0,100.0,0.0,101.18,153.0,83.5,44.3,98.0,4965
716,30.0,16.0,91.0,17.3,1.0,7.93,86.0,28.6,43.9,50.0,2910
374,31.0,7.0,90.0,100.0,1.0,47.15,34.0,32.9,48.6,79.0,3081
332,34.0,4.0,99.0,41.6,1.0,4.51,8.0,20.8,54.9,34.0,802
181,33.0,4.0,83.0,36.9,1.0,3.94,0.0,20.4,55.3,31.0,809
303,33.0,4.0,87.0,40.4,1.0,4.54,0.0,20.8,54.5,36.0,793
97,33.0,4.0,82.0,53.7,1.0,9.93,29.0,28.6,55.7,41.0,1255
646,30.0,14.0,93.0,18.4,1.0,5.9,25.0,23.5,44.7,32.0,2255
536,29.0,11.0,85.0,18.0,1.0,12.41,130.0,31.8,43.5,97.0,3592
653,30.0,14.0,95.0,100.0,1.0,40.15,39.0,36.9,43.1,30.0,2601
616,28.0,13.0,88.0,100.0,0.0,99.88,102.0,83.5,45.9,19.0,4704
309,33.0,4.0,90.0,37.6,1.0,4.18,0.0,20.4,54.1,32.0,806
172,33.0,4.0,82.0,23.1,1.0,3.55,32.0,19.2,54.9,22.0,1086
15,32.0,4.0,85.0,38.0,1.0,8.33,31.0,26.7,56.5,31.0,1486
504,31.0,10.0,86.0,43.9,1.0,4.65,0.0,20.8,39.6,33.0,795
512,30.0,9.0,86.0,83.5,1.0,30.25,39.0,36.5,42.7,24.0,2313
351,30.0,4.0,83.0,20.0,1.0,9.32,76.0,30.2,52.9,90.0,2341
150,31.0,4.0,83.0,43.1,1.0,9.67,30.0,28.2,56.5,38.0,1526
183,33.0,4.0,83.0,37.6,1.0,4.36,11.0,21.6,55.3,34.0,720
515,30.0,10.0,90.0,26.7,1.0,12.75,82.0,29.8,48.6,19.0,4354
216,31.0,4.0,82.0,17.6,1.0,4.93,36.0,22.7,56.5,19.0,1849
189,33.0,4.0,83.0,36.9,1.0,3.94,0.0,20.4,55.3,31.0,809
361,32.0,3.0,83.0,61.2,1.0,17.98,61.0,32.2,52.2,41.0,2058
247,33.0,4.0,83.0,21.2,1.0,2.89,26.0,18.8,54.9,28.0,936
641,30.0,14.0,90.0,58.4,1.0,9.41,20.0,28.2,41.2,101.0,1060
552,29.0,12.0,88.0,100.0,0.0,101.16,150.0,83.5,49.0,98.0,4897
346,32.0,3.0,83.0,18.0,1.0,5.39,55.0,23.1,51.8,20.0,1967
604,31.0,14.0,90.0,42.7,1.0,4.6,0.0,21.2,40.4,35.0,807
403,30.0,8.0,83.0,88.2,1.0,24.97,61.0,35.3,48.2,67.0,1953
667,31.0,15.0,93.0,42.0,1.0,5.01,4.0,20.4,34.9,35.0,809
225,31.0,4.0,82.0,18.0,1.0,4.72,34.0,22.4,56.1,18.0,1758
369,32.0,6.0,87.0,35.7,1.0,4.05,0.0,20.0,49.4,32.0,813
296,33.0,4.0,85.0,36.5,1.0,4.12,0.0,20.4,54.5,34.0,822
673,30.0,15.0,94.0,100.0,0.0,19.29,83.0,31.0,44.7,96.0,5994
191,31.0,4.0,86.0,50.6,1.0,8.39,34.0,27.1,57.3,45.0,1122
112,32.0,4.0,82.0,41.2,1.0,7.24,34.0,25.9,55.3,51.0,1074
178,33.0,4.0,83.0,38.8,1.0,4.06,1.0,20.4,54.9,33.0,793
321,32.0,4.0,94.0,81.6,1.0,10.41,13.0,29.4,54.5,48.0,906
377,31.0,7.0,85.0,49.8,1.0,10.76,52.0,28.6,50.6,52.0,1702
411,30.0,8.0,83.0,100.0,1.0,31.81,76.0,38.0,51.0,81.0,2085
30,33.0,4.0,81.0,60.4,1.0,10.3,28.0,29.0,54.9,48.0,1212
730,30.0,16.0,89.0,100.0,1.0,65.51,60.0,49.4,34.9,18.0,3336
523,30.0,10.0,86.0,18.8,1.0,15.44,74.0,33.3,45.1,19.0,3460
285,30.0,4.0,84.0,60.0,1.0,11.61,27.0,29.8,56.5,49.0,1341
255,32.0,4.0,83.0,19.6,1.0,3.57,36.0,20.4,55.3,20.0,1248
201,31.0,4.0,86.0,52.2,1.0,8.78,35.0,27.5,57.3,45.0,1144
86,32.0,4.0,84.0,62.7,1.0,16.79,9.0,32.2,57.3,53.0,1767
750,31.0,17.0,95.0,39.6,1.0,4.35,0.0,20.4,33.3,34.0,784
649,32.0,15.0,94.0,35.3,1.0,4.16,1.0,20.4,38.0,33.0,801
38,32.0,4.0,81.0,68.2,1.0,13.69,25.0,29.8,59.2,20.0,1540
530,29.0,11.0,86.0,100.0,0.0,76.7,141.0,83.5,46.3,98.0,3832
274,30.0,4.0,84.0,60.0,1.0,11.89,28.0,29.8,56.9,50.0,1361
703,31.0,15.0,99.0,18.4,1.0,6.72,49.0,25.1,42.4,81.0,2354
53,34.0,4.0,82.0,28.2,1.0,3.41,32.0,19.2,55.7,26.0,879
445,31.0,9.0,83.0,19.2,1.0,10.09,33.0,28.6,46.7,20.0,3584
674,30.0,15.0,94.0,100.0,0.0,90.36,98.0,83.5,46.3,98.0,4272
410,30.0,8.0,83.0,100.0,1.0,35.89,77.0,42.0,50.2,90.0,2035
120,32.0,4.0,83.0,41.6,1.0,6.97,36.0,25.5,55.7,35.0,1174
79,33.0,4.0,84.0,18.0,1.0,4.16,30.0,22.0,56.9,20.0,1570
325,33.0,4.0,96.0,42.7,1.0,4.73,1.0,21.2,54.1,37.0,813
575,29.0,13.0,88.0,39.6,1.0,23.84,77.0,35.3,40.4,18.0,3991
446,31.0,9.0,87.0,92.5,1.0,18.92,36.0,35.7,49.0,95.0,1357
465,30.0,9.0,87.0,16.9,1.0,7.48,45.0,25.9,43.9,18.0,3043
622,30.0,14.0,97.0,100.0,1.0,53.28,103.0,41.2,47.5,17.0,3529
298,33.0,4.0,85.0,30.6,1.0,4.36,5.0,20.8,54.5,33.0,726
339,32.0,4.0,83.0,29.8,1.0,8.21,53.0,27.1,54.9,24.0,1804
441,31.0,9.0,83.0,19.6,1.0,9.23,59.0,27.5,48.2,92.0,3068
66,33.0,4.0,83.0,18.8,1.0,3.51,26.0,20.0,55.3,55.0,1227
450,30.0,9.0,83.0,100.0,0.0,61.2,72.0,83.5,45.5,101.0,2868
368,30.0,4.0,83.0,20.0,1.0,9.32,76.0,30.2,52.9,90.0,2341
524,29.0,11.0,85.0,100.0,0.0,85.45,129.0,83.5,45.9,96.0,4122
574,29.0,13.0,88.0,18.0,1.0,10.02,82.0,28.6,39.6,88.0,3804
148,31.0,4.0,83.0,37.6,1.0,8.27,30.0,26.7,56.1,33.0,1501
618,29.0,13.0,88.0,19.6,1.0,11.48,72.0,29.8,42.7,19.0,4021
58,35.0,4.0,82.0,37.3,1.0,4.1,0.0,20.4,54.5,32.0,792
258,32.0,4.0,83.0,32.9,1.0,4.72,29.0,21.6,54.9,29.0,983
366,30.0,4.0,83.0,54.1,1.0,14.1,60.0,31.0,51.8,90.0,1817
261,31.0,4.0,83.0,36.9,1.0,8.89,32.0,27.5,55.3,22.0,1626
576,29.0,13.0,88.0,16.9,1.0,9.15,66.0,27.8,39.6,18.0,3606
227,31.0,4.0,83.0,54.5,1.0,9.12,34.0,27.5,56.9,47.0,1157
438,31.0,9.0,83.0,93.7,1.0,64.22,57.0,53.3,42.7,71.0,2518
663,31.0,15.0,98.0,26.3,1.0,6.92,48.0,25.1,42.4,31.0,2448
450,30.0,9.0,89.0,100.0,1.0,56.45,102.0,41.2,54.1,18.0,3475
106,33.0,4.0,83.0,23.9,1.0,1.98,31.0,17.6,55.3,27.0,933
167,31.0,4.0,82.0,36.9,1.0,8.46,30.0,27.1,54.9,37.0,1538
212,31.0,4.0,82.0,38.8,1.0,7.43,36.0,25.5,55.7,35.0,1278
407,32.0,9.0,85.0,40.0,1.0,4.49,0.0,20.8,42.4,35.0,772
400,30.0,8.0,84.0,100.0,1.0,27.86,56.0,57.6,48.6,23.0,1584
114,32.0,4.0,82.0,17.3,1.0,3.48,39.0,20.4,55.7,21.0,1380
256,32.0,4.0,83.0,22.7,1.0,3.42,31.0,19.2,54.9,23.0,1070
262,31.0,4.0,82.0,36.1,1.0,5.24,33.0,23.1,55.3,30.0,1070
89,32.0,4.0,85.0,45.5,1.0,7.96,37.0,26.7,56.9,20.0,1244
279,30.0,4.0,82.0,53.7,1.0,11.29,29.0,29.4,54.1,46.0,1439
261,32.0,4.0,83.0,30.6,1.0,1.98,27.0,17.3,54.9,23.0,969
145,32.0,4.0,83.0,49.8,1.0,8.84,18.0,22.7,54.9,55.0,1640
481,31.0,9.0,88.0,79.2,1.0,17.22,25.0,31.4,40.0,101.0,1100
2,32.0,4.0,93.0,41.2,1.0,10.29,10.0,29.0,56.9,46.0,1692
157,32.0,4.0,83.0,32.5,1.0,6.82,31.0,25.1,55.7,25.0,1373
164,33.0,4.0,82.0,23.1,1.0,3.55,32.0,19.2,54.9,22.0,1086
307,32.0,4.0,95.0,15.3,1.0,2.72,16.0,17.3,55.3,19.0,1137
5,32.0,4.0,90.0,26.3,1.0,9.39,9.0,29.8,58.0,51.0,777
641,30.0,15.0,94.0,16.9,1.0,7.11,51.0,25.9,40.0,18.0,2831
151,33.0,4.0,83.0,37.6,1.0,4.08,13.0,20.4,54.9,33.0,789
685,30.0,16.0,89.0,100.0,1.0,66.32,78.0,83.5,35.3,96.0,3161
90,32.0,4.0,84.0,62.0,1.0,13.87,32.0,31.0,56.9,35.0,1515
520,29.0,10.0,86.0,100.0,0.0,60.53,76.0,83.5,45.5,102.0,2870
203,31.0,4.0,84.0,45.9,1.0,8.84,39.0,27.5,57.6,20.0,1296
464,30.0,9.0,88.0,16.5,1.0,10.47,71.0,29.0,46.3,18.0,4160
371,32.0,6.0,88.0,36.5,1.0,4.27,0.0,20.4,50.2,37.0,860
