,ENGINE_COOLANT_TEMP,AMBIENT_AIR_TEMP,ENGINE_LOAD,MAF,THROTTLE_POS,SPEED,ENGINE_RPM,FUEL_LEVEL,LOG_ENGINE_RPM,LOG_MAF
128,82.0,4.0,53.7,12.65,30.2,35.0,1609,56.5,7.383368147613887,2.5376572942249096
191,86.0,4.0,50.6,8.39,27.1,34.0,1122,57.3,7.022868086973907,2.127040639668619
426,83.0,9.0,23.9,15.01,34.9,26.0,1587,40.4,7.369600721156528,2.7087167122676203
570,87.0,13.0,100.0,97.47,83.5,103.0,4610,43.9,8.435983136207614,4.579544648608685
592,88.0,12.0,100.0,102.76,83.5,146.0,4990,45.1,8.515191188945964,4.632396181973096
381,91.0,7.0,19.2,5.36,22.7,71.0,1978,52.9,7.589841512688219,1.6789641616498574
277,84.0,4.0,20.8,2.53,17.3,16.0,940,56.5,6.84587987632788,0.9282196979962676
321,94.0,4.0,81.6,10.41,29.4,13.0,906,54.5,6.809039307146732,2.3427669786883523
217,82.0,4.0,18.0,4.72,22.4,34.0,1758,56.1,7.471932078813951,1.5518090114618484
437,85.0,9.0,26.7,75.94,83.5,71.0,4438,47.8,8.397959103717866,4.329943567971947
250,83.0,4.0,40.4,6.45,24.7,33.0,1127,56.5,7.027314514927088,1.864080285846429
396,86.0,7.0,100.0,30.22,37.6,60.0,1816,51.0,7.504391559711899,3.4085039899352614
429,84.0,9.0,42.4,11.76,27.8,87.0,3665,47.8,8.206583614593603,2.464704027504491
97,85.0,4.0,37.3,6.62,25.1,38.0,1243,56.9,7.125283092315216,1.8900955210063075
39,82.0,4.0,18.8,3.25,18.8,19.0,1091,59.2,6.994849986749661,1.1786553040339065
287,86.0,4.0,39.2,4.34,20.4,7.0,783,54.5,6.663132697267942,1.4678745785270335
637,89.0,14.0,36.9,4.12,20.0,0.0,805,37.3,6.690842278660799,1.4158534060798522
109,82.0,4.0,21.2,3.34,18.8,39.0,1135,56.1,7.03438793079656,1.2059711063897618
320,94.0,4.0,39.6,4.53,20.8,0.0,805,54.5,6.690842278660799,1.5107221602454703
170,82.0,4.0,47.1,10.56,29.0,31.0,1518,55.7,7.325148958614337,2.357073372975081
634,88.0,14.0,17.6,6.56,25.1,27.0,2471,39.2,7.812378206393304,1.8809907553950105
593,88.0,12.0,100.0,95.28,53.3,148.0,4834,43.5,8.483429561470297,4.556819935542427
98,82.0,4.0,49.0,6.59,25.1,35.0,929,55.3,6.834108739890265,1.8855535002594723
9,89.0,4.0,56.5,14.34,31.0,18.0,1727,60.8,7.454141078725717,2.6630529049064786
238,83.0,4.0,28.2,4.82,21.6,35.0,1777,56.9,7.482681828717397,1.5727741355313671
340,83.0,4.0,17.6,4.64,22.4,51.0,1765,54.5,7.47590596993397,1.534714581755382
424,83.0,9.0,20.0,7.02,25.5,40.0,2361,41.6,7.766840537509062,1.948763360487852
207,84.0,4.0,53.7,13.35,30.6,32.0,1666,57.3,7.418180823327028,2.5915164597526226
447,87.0,9.0,100.0,73.02,83.5,66.0,3563,51.0,8.178358165886499,4.2907333899223685
678,91.0,16.0,100.0,69.99,83.5,82.0,3406,40.0,8.133293861516233,4.248352388989203
31,80.0,4.0,58.4,12.06,30.2,33.0,1443,55.3,7.274479559466871,2.489894274217776
359,91.0,7.0,100.0,25.54,61.2,44.0,1473,49.4,7.295056417141517,3.2402458897586603
232,83.0,4.0,19.6,3.62,20.4,39.0,1301,56.9,7.170888479281145,1.2864743020807354
652,96.0,15.0,37.6,4.13,20.4,0.0,789,40.4,6.670766322113302,1.4182776491036626
307,95.0,4.0,15.3,2.72,17.3,16.0,1137,55.3,7.036148494630043,1.0006322479548972
88,84.0,4.0,43.1,5.52,24.7,9.0,831,57.6,6.7226297960588175,1.7083780414484078
221,82.0,4.0,59.6,14.06,30.6,34.0,1610,56.1,7.383989458599626,2.643333957506272
467,87.0,9.0,43.1,5.69,26.7,7.0,751,45.5,6.621405653095692,1.7387104238851487
650,94.0,14.0,36.9,3.9,20.0,0.0,812,38.4,6.699500341393205,1.3609768095458243
16,85.0,4.0,36.9,8.52,27.1,32.0,1569,56.5,7.358193753370381,2.142416458212109
683,90.0,16.0,18.0,10.43,29.0,71.0,3798,39.2,8.242229891635528,2.3446863648899536
389,83.0,8.0,100.0,42.89,42.7,73.0,2399,49.8,7.782807263256535,3.758638721844247
186,84.0,4.0,79.6,7.95,28.6,13.0,723,55.7,6.58340922354189,2.0731720544523964
238,83.0,4.0,69.8,10.47,29.0,31.0,1021,57.3,6.928537819144098,2.3485141203934248
703,99.0,15.0,18.4,6.72,25.1,49.0,2354,42.4,7.7638712882450305,1.905088303344571
655,98.0,15.0,100.0,37.66,32.2,23.0,2842,42.7,7.952263309008911,3.628598549782378
415,84.0,8.0,18.8,5.87,23.9,64.0,2065,51.0,7.632885505879394,1.769854804197742
349,83.0,4.0,54.1,14.1,31.0,60.0,1817,51.8,7.504942068946529,2.646174868306106
299,86.0,4.0,38.4,4.13,20.4,7.0,776,54.5,6.654152521471879,1.4182776491036626
219,83.0,4.0,28.6,5.43,23.1,38.0,1295,55.7,7.166265974905839,1.6919393181078897
694,90.0,17.0,100.0,108.31,83.5,112.0,5357,45.5,8.586159396067632,4.684997495080403
408,86.0,9.0,38.8,18.55,32.9,100.0,3403,53.3,8.132412674794764,2.920469842961799
181,83.0,4.0,36.9,3.94,20.4,0.0,809,55.3,6.695798918294586,1.3711809771169168
628,94.0,14.0,18.0,5.55,22.7,65.0,2192,40.8,7.692569648524111,1.7137981079385072
497,85.0,9.0,50.2,15.16,31.4,86.0,2822,44.7,7.945201132767118,2.718660446177284
294,90.0,4.0,37.6,4.18,20.4,0.0,806,54.1,6.692083743747324,1.430311485771086
685,93.0,15.0,18.0,6.94,25.5,44.0,2507,42.4,7.826842098557177,1.937301918610922
697,98.0,15.0,43.5,20.06,32.9,34.0,2013,43.9,7.607381426136563,2.998727832384237
55,82.0,4.0,40.8,4.36,20.8,0.0,788,55.3,6.669498091126915,1.472472286718715
135,83.0,4.0,50.6,12.31,30.2,35.0,1650,58.4,7.408530567500687,2.510412021431127
233,83.0,4.0,19.2,3.52,20.4,37.0,1284,56.5,7.157735485028723,1.2584612737008745
730,89.0,16.0,100.0,65.51,49.4,60.0,3336,34.9,8.112527763778397,4.18220281800863
239,83.0,4.0,66.3,11.08,29.4,39.0,1137,57.3,7.036148494630043,2.405141771571841
367,83.0,4.0,35.7,20.16,34.5,70.0,2255,52.5,7.720905252380238,3.0037004928063413
689,89.0,16.0,100.0,65.51,49.4,60.0,3336,34.9,8.112527763778397,4.18220281800863
125,82.0,4.0,19.6,3.5,18.8,34.0,1183,55.7,7.075808864823696,1.252763254209613
184,83.0,4.0,37.3,4.26,20.4,0.0,779,55.7,6.658011047154445,1.4492693950230355
196,85.0,4.0,51.0,9.48,28.2,39.0,1296,57.3,7.167037877683825,2.249184421752157
145,83.0,4.0,19.6,3.1,18.8,30.0,1068,57.6,6.97354302045647,1.1314024340716935
569,86.0,13.0,100.0,79.28,83.5,90.0,3843,40.8,8.254008590825057,4.372985902635254
493,86.0,10.0,55.3,41.22,38.4,54.0,3389,44.3,8.128290171902124,3.718923599722381
669,93.0,15.0,36.9,3.86,19.6,0.0,815,33.7,6.7031881144678565,1.3506674425440637
184,83.0,4.0,40.4,4.69,20.8,6.0,789,55.3,6.670766322113302,1.5454327956777816
582,88.0,13.0,100.0,99.88,83.5,102.0,4704,45.9,8.456168489791049,4.603969475423587
90,84.0,4.0,62.0,13.87,31.0,32.0,1515,56.9,7.323170718603536,2.629728306424791
530,86.0,11.0,100.0,76.7,83.5,141.0,3832,46.3,8.251142139351712,4.33990172141102
12,89.0,4.0,57.3,10.11,28.6,28.0,1204,59.6,7.093404626699331,2.3135251319443437
636,94.0,15.0,100.0,19.29,31.0,83.0,5994,44.7,8.698514248043441,2.959586878757968
144,83.0,4.0,47.5,7.67,26.3,33.0,1099,57.6,7.00215595531354,2.037316745757253
667,93.0,15.0,42.0,5.01,20.4,4.0,809,34.9,6.695798918294586,1.611436114697552
301,93.0,4.0,38.4,4.37,20.8,0.0,786,54.5,6.666956793701472,1.4747632379404243
539,85.0,11.0,16.9,7.23,25.9,70.0,2802,40.8,7.93808872725384,1.9782391744832504
34,80.0,4.0,44.7,7.12,25.5,34.0,1124,55.3,7.0246490313433165,1.9629078658733128
183,83.0,4.0,38.0,4.29,20.4,0.0,804,55.3,6.689599270422748,1.4562869660401316
43,82.0,4.0,74.1,10.73,29.8,27.0,980,58.8,6.887552572685026,2.373043649839248
26,81.0,4.0,50.2,7.71,26.7,33.0,1078,55.3,6.982862752396587,2.042518317276916
547,86.0,12.0,100.0,105.08,83.5,112.0,5045,47.8,8.526152932985925,4.6547219743338974
235,82.0,4.0,46.7,11.02,29.4,30.0,1512,56.1,7.321188557400854,2.399711894468866
551,88.0,12.0,100.0,98.74,83.5,147.0,4761,49.0,8.46821300940456,4.592490142958325
189,83.0,4.0,36.9,3.94,20.4,0.0,809,55.3,6.695798918294586,1.3711809771169168
476,88.0,9.0,17.3,3.58,19.6,1.0,1485,42.4,7.3031700519102,1.2753630797421789
353,88.0,6.0,47.1,5.5,22.4,2.0,857,49.4,6.753437919764641,1.7047482740565905
181,83.0,4.0,40.8,4.26,19.6,20.0,771,55.7,6.647688374860346,1.4492693950230355
281,83.0,4.0,54.1,7.87,26.7,29.0,1014,55.3,6.921658185137321,2.063058189494107
445,87.0,9.0,56.9,16.17,32.5,17.0,1365,48.6,7.218909708351661,2.783157735431933
105,82.0,4.0,46.3,8.25,27.1,36.0,1185,56.1,7.077498054413113,2.110213321558704
33,81.0,4.0,43.1,7.39,26.3,27.0,1251,55.3,7.131698511266272,2.0001278702780985
555,85.0,11.0,100.0,90.17,83.5,132.0,4323,47.1,8.371704884898953,4.501696788601978
686,89.0,16.0,100.0,84.35,83.5,90.0,4043,39.2,8.304742269888111,4.434974820847342
646,93.0,15.0,18.0,6.94,25.5,44.0,2507,42.4,7.826842098557177,1.937301918610922
294,85.0,4.0,42.4,4.64,21.2,0.0,808,54.9,6.694562059758719,1.534714581755382
158,83.0,4.0,15.3,4.0,22.0,33.0,1570,55.7,7.358830898979296,1.3862946111198593
667,95.0,15.0,100.0,84.08,83.5,67.0,3976,41.2,8.288031568027973,4.4317687384621305
704,92.0,17.0,51.4,6.39,23.5,17.0,730,32.9,6.5930445355123,1.854734424883954
391,83.0,8.0,100.0,31.81,38.0,76.0,2085,51.0,7.642524134712518,3.459780737197707
674,91.0,16.0,100.0,55.74,47.5,90.0,2894,43.9,7.9703949075369716,4.020698039994239
503,84.0,9.0,18.4,10.1,28.2,56.0,3620,44.3,8.19422930509606,2.3125355228571096
513,86.0,9.0,96.1,24.54,33.7,50.0,2179,45.1,7.6866213354035455,3.200304480032561
121,82.0,4.0,40.8,7.31,25.9,37.0,1238,55.7,7.121252454052296,1.9892434105605836
132,83.0,4.0,14.1,3.22,23.1,19.0,1330,55.3,7.192934221967679,1.169381670115275
439,86.0,9.0,18.4,7.68,26.3,76.0,2807,49.4,7.939871576718135,2.038619677367905
665,94.0,14.0,18.0,5.55,22.7,65.0,2192,40.8,7.692569648524111,1.7137981079385072
593,88.0,14.0,100.0,71.27,83.5,63.0,3451,35.3,8.146419323387775,4.266475495544928
137,83.0,4.0,47.5,7.67,26.3,33.0,1099,57.6,7.00215595531354,2.037316745757253
638,89.0,14.0,38.8,4.13,20.0,0.0,794,38.4,6.677083462506581,1.4182776491036626
516,90.0,10.0,100.0,87.64,83.5,98.0,4182,47.5,8.3385448802277,4.473237526137581
84,84.0,4.0,62.0,13.87,31.0,32.0,1515,56.9,7.323170718603536,2.629728306424791
293,89.0,4.0,38.8,4.27,20.4,0.0,808,54.1,6.694562059758719,1.4516140614325432
409,85.0,9.0,78.0,40.44,38.0,105.0,3337,51.0,8.112827479051044,3.6998194188802622
578,88.0,13.0,35.3,5.5,23.1,25.0,786,34.1,6.666956793701472,1.7047482740565905
265,83.0,4.0,23.5,3.76,19.6,33.0,1124,54.9,7.0246490313433165,1.3244192233592145
354,94.0,4.0,100.0,16.25,28.6,27.0,2882,52.9,7.966239776906448,2.788092970314206
629,94.0,15.0,17.3,7.28,25.9,41.0,2877,37.3,7.964503363899132,1.9851309995712223
658,100.0,15.0,17.6,9.43,27.8,56.0,3466,48.6,8.150756470564069,2.243896202689899
185,83.0,4.0,40.4,4.31,20.4,0.0,786,55.7,6.666956793701472,1.4609381361341909
709,96.0,17.0,34.9,3.55,19.2,0.0,795,32.2,6.678342115912193,1.2669478851774256
410,83.0,8.0,100.0,35.89,42.0,77.0,2035,50.2,7.618251098368096,3.58045873302243
304,94.0,4.0,36.9,4.14,20.4,0.0,802,54.5,6.687108609113397,1.4206960293830877
137,83.0,4.0,59.6,14.03,31.0,31.0,1537,57.3,7.337587744189214,2.641197965390204
63,83.0,4.0,40.8,4.66,21.2,12.0,797,54.5,6.68085468004492,1.5390156627298062
501,84.0,9.0,46.7,89.35,81.2,69.0,3769,40.0,8.234564993532457,4.492561252797379
176,83.0,4.0,40.4,4.69,20.8,6.0,789,55.3,6.670766322113302,1.5454327956777816
660,97.0,14.0,16.9,9.25,30.6,103.0,3308,45.9,8.104099056445879,2.224623659632436
160,83.0,4.0,20.8,3.17,20.0,25.0,1424,56.9,7.261225092674168,1.1537319033465527
71,84.0,4.0,74.1,12.86,30.6,27.0,1187,56.5,7.0791843954521285,2.554121796569968
565,86.0,11.0,100.0,73.34,83.5,133.0,3669,44.3,8.207674424627836,4.295106176278304
583,87.0,12.0,100.0,87.09,83.5,133.0,4209,48.2,8.344980369008157,4.466942078187023
432,85.0,9.0,19.6,5.75,23.5,27.0,2051,45.5,7.6260827585599475,1.7492000287222875
663,98.0,15.0,26.3,6.92,25.1,48.0,2448,42.4,7.803026644040713,1.9344159141382384
379,91.0,7.0,100.0,58.37,52.9,65.0,2907,51.8,7.974876900902873,4.066802076347788
292,85.0,4.0,28.2,2.94,17.6,15.0,824,56.1,6.714170531123064,1.0784099214865868
750,95.0,17.0,39.6,4.35,20.4,0.0,784,33.3,6.664409021625918,1.4701760749856236
32,80.0,4.0,44.7,7.12,25.5,34.0,1124,55.3,7.0246490313433165,1.9629078658733128
127,82.0,4.0,60.4,12.29,30.2,32.0,1391,56.5,7.237778192642351,2.508786004944905
535,88.0,10.0,41.6,4.52,20.4,4.0,815,44.7,6.7031881144678565,1.5085122150830534
260,83.0,4.0,40.0,5.64,23.1,29.0,972,54.9,6.879355805489245,1.7298842428149164
639,95.0,15.0,49.4,25.28,34.5,98.0,3419,47.1,8.137103389931784,3.230013608835618
449,88.0,9.0,100.0,68.17,83.5,103.0,3943,54.5,8.279697134131242,4.222004600043904
180,83.0,4.0,36.9,4.34,20.4,0.0,805,54.9,6.690842278660799,1.4678745785270335
343,82.0,4.0,30.6,7.52,26.3,48.0,1697,53.7,7.436617265823502,2.017566270940463
34,81.0,4.0,69.0,14.05,31.0,29.0,1380,55.7,7.229838778875888,2.6426224669541294
141,83.0,4.0,38.4,4.14,20.8,4.0,777,55.7,6.655440351654649,1.4206960293830877
387,83.0,8.0,100.0,27.93,29.8,59.0,2456,47.5,7.806289289674199,3.32970141576088
622,88.0,14.0,100.0,56.97,83.5,67.0,2789,40.0,7.93343838798604,4.0425248310454025
585,88.0,12.0,100.0,98.74,83.5,147.0,4761,49.0,8.46821300940456,4.592490142958325
237,83.0,4.0,69.0,10.39,29.0,31.0,1059,57.3,6.965080346545694,2.340843901357522
364,83.0,3.0,17.6,5.25,26.3,62.0,1820,51.0,7.506591780620291,1.6582282670797048
81,84.0,4.0,69.0,11.82,30.2,17.0,1183,58.0,7.075808864823696,2.469793096580317
422,84.0,8.0,100.0,27.86,57.6,56.0,1584,48.6,7.367708573005684,3.327192004245413
722,90.0,16.0,18.0,8.71,27.1,59.0,3263,40.8,8.090402296899788,2.1644719056749677
20,83.0,4.0,32.2,7.6,26.3,35.0,1628,55.7,7.395107547176736,2.028148378871224
91,84.0,4.0,15.3,3.14,19.6,38.0,1252,56.5,7.132497552458766,1.1442231183914489
225,82.0,4.0,58.8,11.41,29.8,16.0,1316,53.7,7.182352112645141,2.4344902515163995
453,87.0,9.0,43.1,4.46,21.2,0.0,786,39.2,6.666956793701472,1.4951489902471942
414,84.0,8.0,63.5,18.41,32.5,76.0,2130,51.4,7.663877259172954,2.9128940495632905
717,91.0,16.0,16.9,7.22,25.9,72.0,2802,43.1,7.93808872725384,1.9768550914088805
266,82.0,4.0,30.2,5.58,24.7,25.0,1154,52.9,7.0509894479345965,1.719188955604673
522,87.0,10.0,18.4,11.69,29.8,73.0,4216,47.5,8.34664209045839,2.4587338610271727
129,82.0,4.0,36.9,4.11,20.4,0.0,797,54.1,6.68085468004492,1.4134232718171162
592,88.0,14.0,67.5,20.42,32.9,37.0,2118,36.1,7.658227526633495,3.016514861708115
37,81.0,4.0,77.6,17.64,32.5,31.0,1561,58.8,7.353081921156047,2.8701691072679862
666,94.0,15.0,17.3,7.28,25.9,41.0,2877,37.3,7.964503363899132,1.9851309995712223
276,84.0,4.0,48.6,5.92,24.3,18.0,890,56.5,6.791221463849781,1.778336617814819
395,86.0,7.0,100.0,28.26,45.1,65.0,1638,50.6,7.401231265023515,3.341447412642085
212,82.0,4.0,38.8,7.43,25.5,36.0,1278,55.7,7.153051635719953,2.0055259933191607
517,89.0,10.0,100.0,101.05,83.5,111.0,4945,49.0,8.506132244259037,4.615615453745721
108,83.0,4.0,20.4,3.23,18.8,32.0,1137,55.7,7.036148494630043,1.1724824468320405
561,86.0,11.0,100.0,76.7,83.5,141.0,3832,46.3,8.251142139351712,4.33990172141102
394,84.0,8.0,63.5,18.41,32.5,76.0,2130,51.4,7.663877259172954,2.9128940495632905
93,85.0,4.0,51.4,8.4,27.1,34.0,1226,57.3,7.111512117311817,2.12823182489688
220,82.0,4.0,25.9,6.37,24.7,33.0,1608,55.3,7.382746450360802,1.851599626569931
225,82.0,4.0,18.0,4.72,22.4,34.0,1758,56.1,7.471932078813951,1.5518090114618484
640,95.0,15.0,16.9,8.46,27.1,60.0,3387,41.6,8.127699853113018,2.1353492918214347
288,87.0,4.0,36.5,4.26,20.4,4.0,772,54.5,6.648984551320113,1.4492693950230355
173,83.0,4.0,40.8,4.26,19.6,20.0,771,55.7,6.647688374860346,1.4492693950230355
25,81.0,4.0,50.2,7.71,26.7,33.0,1078,55.3,6.982862752396587,2.042518317276916
403,85.0,9.0,21.6,3.22,18.4,16.0,1150,44.3,7.047517222226861,1.169381670115275
726,89.0,16.0,100.0,66.32,83.5,78.0,3161,35.3,8.058643712531973,4.194491525905447
546,89.0,10.0,100.0,101.05,83.5,111.0,4945,49.0,8.506132244259037,4.615615453745721
42,82.0,4.0,18.8,3.25,18.8,19.0,1091,59.2,6.994849986749661,1.1786553040339065
209,84.0,4.0,47.5,8.44,27.1,38.0,1236,57.6,7.119635638826698,2.132982427091271
85,85.0,4.0,80.0,12.14,30.6,35.0,1083,56.9,6.987490247924352,2.496505868003672
742,90.0,17.0,100.0,81.62,83.5,68.0,3923,37.6,8.274611946464459,4.402074342229558
97,82.0,4.0,53.7,9.93,28.6,29.0,1255,55.7,7.134890852362697,2.295560578762011
452,84.0,9.0,100.0,61.86,83.5,90.0,2980,49.0,7.99967857983502,4.1248737834224585
602,86.0,13.0,100.0,107.93,83.5,74.0,5126,37.3,8.5420809071191,4.68148287810252
273,83.0,4.0,20.0,3.72,18.8,13.0,901,54.5,6.803505258718216,1.3137239371022231
259,83.0,4.0,33.3,4.76,22.0,29.0,972,54.9,6.879355805489245,1.56024787832734
182,83.0,4.0,36.5,4.27,20.4,0.0,801,55.3,6.685860948316798,1.4516140614325432
349,82.0,4.0,22.4,2.32,20.0,45.0,1308,53.3,7.176254532781671,0.8415676167126085
346,83.0,3.0,18.0,5.39,23.1,55.0,1967,51.8,7.584264818897448,1.6845455704496457
303,87.0,4.0,40.4,4.54,20.8,0.0,793,54.5,6.675823222895882,1.5129272323175496
14,88.0,4.0,21.6,3.81,19.2,34.0,1098,58.4,7.001245622980223,1.3376294516057667
377,85.0,7.0,49.8,10.76,28.6,52.0,1702,50.6,7.439559309720863,2.3758356476704368
490,86.0,9.0,100.0,46.71,83.1,65.0,2429,42.7,7.795234929413865,3.843958295922708
244,82.0,4.0,40.0,6.73,25.1,31.0,1160,56.1,7.056175284962479,1.906575292245036
579,88.0,13.0,100.0,51.42,45.1,45.0,2654,36.9,7.883823215268943,3.940027221285429
532,86.0,11.0,39.2,74.39,49.8,132.0,3689,44.7,8.213110697867751,4.309321537645917
0,95.0,4.0,42.0,4.73,21.6,0.0,807,56.1,6.693323669509106,1.5539254139203098
419,83.0,9.0,19.6,9.23,27.5,59.0,3068,48.2,8.028781162813091,2.222459156857117
656,97.0,14.0,100.0,78.18,67.5,91.0,3816,46.7,8.246958032830232,4.359013873155804
66,84.0,4.0,85.1,11.55,30.6,23.0,935,55.7,6.840546530358206,2.446685523547885
413,84.0,8.0,83.1,24.68,34.9,77.0,2016,51.4,7.608870629687291,3.205993239555825
365,83.0,3.0,20.0,5.94,23.9,54.0,2058,51.4,7.629489916879903,1.781709301724708
619,97.0,14.0,100.0,78.18,67.5,91.0,3816,46.7,8.246958032830232,4.359013873155804
676,95.0,15.0,49.4,25.28,34.5,98.0,3419,47.1,8.137103389931784,3.230013608835618
113,83.0,4.0,46.3,8.38,26.7,36.0,1199,56.1,7.089243155861543,2.125848033825726
700,100.0,15.0,18.0,6.71,25.5,50.0,2468,44.7,7.811163385430465,1.903599100014876
552,88.0,12.0,100.0,101.16,83.5,150.0,4897,49.0,8.496378051906524,4.616703431687094
588,88.0,12.0,100.0,102.06,63.9,154.0,5063,48.2,8.52971447216742,4.625560885433983
363,91.0,7.0,100.0,39.9,43.5,73.0,2237,52.5,7.712890961937156,3.686376348958474
468,87.0,9.0,99.2,28.05,37.3,13.0,1797,48.2,7.493873887340042,3.3339886676193284
716,91.0,16.0,17.3,7.93,28.6,86.0,2910,43.9,7.975908360509181,2.0706531617501533
262,82.0,4.0,36.1,5.24,23.1,33.0,1070,55.3,6.975413928390531,1.6563216891726271
368,83.0,4.0,20.0,9.32,30.2,76.0,2341,52.9,7.758333467918079,2.232162735993631
417,83.0,8.0,24.3,8.33,28.2,40.0,1561,46.7,7.353081921156047,2.1198635762267632
99,83.0,4.0,23.9,1.98,17.6,31.0,933,55.3,6.838405201919155,0.6830973497568213
223,82.0,4.0,20.4,5.51,23.5,38.0,1848,56.9,7.521859252742755,1.70656480465301
151,83.0,4.0,37.6,4.08,20.4,13.0,789,54.9,6.670766322113302,1.4060972335140796
148,83.0,4.0,37.6,8.27,26.7,30.0,1501,56.1,7.313886832299684,2.112634629954577
510,85.0,9.0,42.0,4.54,21.2,2.0,787,39.2,6.668228249688052,1.5129272323175496
7,89.0,4.0,62.4,9.48,28.2,15.0,1080,60.0,6.984716321044192,2.249184421752157
316,93.0,4.0,38.4,4.37,20.8,0.0,786,54.5,6.666956793701472,1.4747632379404243
341,83.0,4.0,49.8,13.09,30.6,52.0,1626,54.1,7.393878290722762,2.5718486563159995
275,84.0,4.0,22.4,3.48,18.4,18.0,1064,56.9,6.969790670841439,1.2470325811426637
603,86.0,13.0,100.0,79.28,83.5,90.0,3843,40.8,8.254008590825057,4.372985902635254
654,97.0,15.0,41.2,4.56,20.8,10.0,780,41.2,6.6592939209656885,1.5173228428245162
218,83.0,4.0,18.0,3.48,20.4,39.0,1270,55.7,7.146772180240038,1.2470325811426637
244,83.0,4.0,18.8,3.37,20.0,37.0,1214,55.3,7.101675972443167,1.2149130411001314
