,ENGINE_COOLANT_TEMP,AMBIENT_AIR_TEMP,ENGINE_LOAD,MAF,THROTTLE_POS,SPEED,ENGINE_RPM,FUEL_LEVEL,LOG_ENGINE_RPM,LOG_MAF
38,81.0,4.0,76.1,16.44,32.2,30.0,1481,56.5,7.300472814943018,2.799717450455282
649,94.0,14.0,36.5,3.83,20.0,0.0,812,38.4,6.699500341393205,1.3428650642891264
367,88.0,7.0,100.0,37.65,43.1,54.0,2042,47.1,7.6216849992143265,3.628332980806327
614,88.0,13.0,100.0,47.2,83.5,67.0,2438,40.0,7.798933310451389,3.85439391377795
496,85.0,9.0,16.9,7.29,25.9,85.0,2851,45.9,7.955425089263426,1.9865036831947689
50,82.0,4.0,14.1,2.74,18.8,34.0,996,56.1,6.903747258588615,1.007958285363416
495,86.0,9.0,17.6,8.94,27.1,90.0,3315,49.0,8.106212902921621,2.1905357010422395
276,82.0,4.0,62.7,9.83,28.6,12.0,851,52.5,6.746412129748462,2.2854390358884697
30,81.0,4.0,60.4,10.3,29.0,28.0,1212,54.9,7.100027167454343,2.332143992322964
433,85.0,9.0,18.4,9.49,28.2,83.0,3645,50.2,8.201111644717107,2.250238717995909
287,84.0,4.0,45.5,7.54,24.7,23.0,1403,57.3,7.24636808081522,2.0202223146458507
659,100.0,15.0,18.0,6.71,25.5,50.0,2468,44.7,7.811163385430465,1.903599100014876
370,88.0,7.0,91.4,30.76,36.9,67.0,2267,50.2,7.72621265094864,3.426215177147196
188,84.0,4.0,66.7,13.04,30.6,31.0,1330,57.3,7.192934221967679,2.5680216331856203
93,84.0,4.0,18.0,3.4,20.4,37.0,1309,56.5,7.177018766673842,1.2237757257397197
126,83.0,4.0,39.6,6.79,25.1,35.0,1139,55.7,7.037905964325145,1.915451088845999
463,88.0,9.0,15.7,9.88,29.4,88.0,3407,49.4,8.13358741795448,2.290512612974346
524,85.0,11.0,100.0,85.45,83.5,129.0,4122,45.9,8.324093761693005,4.44793142126435
200,84.0,4.0,55.3,13.76,30.6,37.0,1683,57.6,7.428333194784983,2.6217659051796134
381,84.0,8.0,18.8,9.2,29.8,52.0,2110,46.3,7.654443226944045,2.219203592750641
76,84.0,4.0,39.6,4.41,20.0,26.0,734,57.6,6.598509029976913,1.483874916216099
483,88.0,9.0,100.0,109.97,35.3,79.0,5517,46.7,8.615589513453688,4.700207610416232
96,83.0,4.0,20.8,3.42,19.6,24.0,1160,55.7,7.056175284962479,1.229640843472132
573,85.0,11.0,100.0,33.61,40.8,40.0,1835,32.9,7.51479976103363,3.514823671490064
538,89.0,10.0,18.4,60.45,76.1,75.0,4308,51.0,8.368229038508405,4.101816593603399
676,91.0,16.0,16.9,7.22,25.9,72.0,2802,43.1,7.93808872725384,1.9768550914088805
213,84.0,4.0,52.2,9.87,28.6,40.0,1325,56.9,7.18916773917504,2.2894999547625074
7,89.0,4.0,62.4,9.48,28.2,15.0,1080,60.0,6.984716321044192,2.249184421752157
458,85.0,9.0,100.0,77.58,83.5,63.0,3697,44.3,8.215276959207122,4.351309674901741
249,83.0,4.0,42.4,7.78,26.3,28.0,1277,54.9,7.152268856815625,2.0515564667249966
27,81.0,4.0,49.4,7.81,26.7,32.0,1092,55.3,6.995766157220602,2.0554050918925597
153,83.0,4.0,20.8,3.17,20.0,25.0,1424,56.9,7.261225092674168,1.1537319033465527
122,82.0,4.0,19.2,3.65,20.0,35.0,1244,55.7,7.126087274102983,1.2947274415669654
355,94.0,4.0,19.2,4.77,25.9,36.0,1805,53.7,7.498315871320998,1.5623465145438338
459,88.0,9.0,100.0,109.97,35.3,79.0,5517,46.7,8.615589513453688,4.700207610416232
117,82.0,4.0,40.4,8.37,26.7,31.0,1431,54.9,7.266128780255263,2.1246540039756896
351,83.0,4.0,20.0,9.32,30.2,76.0,2341,52.9,7.758333467918079,2.232162735993631
24,81.0,4.0,22.0,3.57,19.2,32.0,1108,55.3,7.010311868209756,1.2725658759035532
389,88.0,7.0,82.7,25.07,34.9,67.0,2102,49.4,7.650644551912634,3.221671952058514
5,90.0,4.0,26.3,9.39,29.8,9.0,777,58.0,6.655440351654649,2.2396453997164385
