,ENGINE_COOLANT_TEMP,AMBIENT_AIR_TEMP,ENGINE_LOAD,MAF,THROTTLE_POS,SPEED,ENGINE_RPM,FUEL_LEVEL
151,90.0,4.0,43.1,7.3,25.9,35.0,1169,54.9
152,89.0,4.0,40.8,6.76,25.1,36.0,1167,54.9
153,89.0,4.0,39.6,6.79,25.1,36.0,1188,54.9
154,83.0,4.0,48.2,12.38,29.8,55.0,1912,54.9
155,83.0,4.0,29.8,8.21,27.1,53.0,1804,54.9
156,83.0,4.0,17.6,4.64,22.4,51.0,1765,54.5
157,96.0,14.0,100.0,69.77,83.5,110.0,3441,44.7
158,96.0,14.0,100.0,76.29,83.5,113.0,3738,45.9
159,95.0,14.0,17.3,8.69,27.5,84.0,3528,44.3
160,94.0,14.0,18.0,5.55,22.7,65.0,2192,40.8
161,94.0,15.0,17.3,7.28,25.9,41.0,2877,37.3
162,93.0,15.0,42.0,5.01,20.4,4.0,809,34.9
163,93.0,15.0,40.0,4.42,20.4,0.0,767,32.9
164,93.0,15.0,36.9,3.86,19.6,0.0,815,33.7
165,93.0,15.0,38.8,3.87,20.0,8.0,797,34.9
166,93.0,15.0,100.0,56.19,83.5,37.0,2454,37.6
167,93.0,15.0,100.0,76.81,83.5,66.0,3732,40.8
168,94.0,15.0,100.0,19.29,31.0,83.0,5994,44.7
169,94.0,15.0,100.0,90.36,83.5,98.0,4272,46.3
170,95.0,15.0,100.0,66.3,83.5,103.0,3350,47.5
171,95.0,15.0,49.4,25.28,34.5,98.0,3419,47.1
172,95.0,15.0,16.9,6.25,24.3,73.0,2593,44.7
173,95.0,15.0,16.9,8.46,27.1,60.0,3387,41.6
174,94.0,15.0,16.9,7.11,25.9,51.0,2831,40.0
175,94.0,15.0,18.0,5.45,23.1,28.0,2078,38.0
176,93.0,15.0,45.5,14.94,31.0,34.0,2291,36.5
177,93.0,15.0,64.7,26.48,34.9,38.0,3009,38.8
178,93.0,15.0,18.8,9.23,29.8,42.0,2936,40.0
179,93.0,15.0,19.2,28.3,46.3,52.0,2536,41.6
180,93.0,15.0,18.0,6.94,25.5,44.0,2507,42.4
181,93.0,15.0,18.8,5.33,23.1,23.0,1978,41.2
182,94.0,15.0,35.7,3.65,19.2,7.0,890,39.2
183,94.0,15.0,35.3,4.16,20.4,1.0,801,38.0
184,94.0,15.0,38.4,4.14,20.4,0.0,786,37.6
185,95.0,15.0,34.5,4.02,20.0,0.0,804,38.4
186,95.0,15.0,36.5,4.11,20.0,0.0,801,39.2
187,96.0,15.0,35.7,4.03,20.0,0.0,796,40.0
188,96.0,15.0,37.6,4.13,20.4,0.0,789,40.4
189,97.0,15.0,35.7,3.96,20.0,0.0,799,40.8
190,97.0,15.0,41.2,4.56,20.8,10.0,780,41.2
191,98.0,15.0,100.0,37.66,32.2,23.0,2842,42.7
192,98.0,15.0,43.5,20.06,32.9,34.0,2013,43.9
193,99.0,15.0,100.0,71.46,83.5,61.0,3441,45.9
194,100.0,15.0,17.6,9.43,27.8,56.0,3466,48.6
195,100.0,15.0,18.0,6.71,25.5,50.0,2468,44.7
196,100.0,15.0,40.4,14.29,29.8,47.0,2497,43.1
197,99.0,15.0,46.7,17.49,32.2,49.0,2263,42.0
198,99.0,15.0,18.4,6.72,25.1,49.0,2354,42.4
199,98.0,15.0,26.3,6.92,25.1,48.0,2448,42.4
200,97.0,15.0,19.2,6.81,25.1,45.0,2347,41.2
201,96.0,15.0,23.5,6.4,25.1,27.0,2231,41.2
202,96.0,15.0,23.1,12.02,33.3,41.0,1942,38.4
203,95.0,15.0,100.0,84.08,83.5,67.0,3976,41.2
204,93.0,16.0,100.0,107.37,83.1,73.0,5315,43.5
205,93.0,16.0,44.3,15.7,31.0,82.0,4297,46.7
206,91.0,16.0,81.6,25.98,43.1,40.0,1436,34.1
207,91.0,16.0,18.4,13.97,30.6,59.0,5218,38.0
208,91.0,16.0,100.0,63.31,83.5,74.0,2860,40.8
209,91.0,16.0,100.0,68.52,45.1,87.0,3832,43.1
210,91.0,16.0,100.0,55.74,47.5,90.0,2894,43.9
211,91.0,16.0,17.3,7.93,28.6,86.0,2910,43.9
212,91.0,16.0,16.9,7.22,25.9,72.0,2802,43.1
213,91.0,16.0,17.6,4.38,20.8,64.0,1728,40.4
214,91.0,16.0,100.0,69.99,83.5,82.0,3406,40.0
215,91.0,16.0,100.0,88.53,83.5,76.0,4160,42.4
216,90.0,16.0,18.0,9.07,29.8,69.0,3373,41.2
217,90.0,16.0,18.0,8.71,27.1,59.0,3263,40.8
218,90.0,16.0,100.0,60.74,46.3,75.0,3283,39.6
219,90.0,16.0,18.0,10.43,29.0,71.0,3798,39.2
220,89.0,16.0,18.8,7.47,25.9,61.0,2855,34.9
221,89.0,16.0,100.0,66.32,83.5,78.0,3161,35.3
222,89.0,16.0,100.0,84.35,83.5,90.0,4043,39.2
223,89.0,16.0,31.8,64.29,45.9,58.0,4355,40.8
224,89.0,16.0,20.0,4.89,22.0,36.0,1830,35.7
225,89.0,16.0,100.0,65.51,49.4,60.0,3336,34.9
226,89.0,16.0,100.0,65.85,83.5,79.0,3174,38.4
227,89.0,17.0,100.0,85.52,83.5,94.0,4066,41.2
228,89.0,17.0,100.0,100.64,83.5,106.0,4793,43.9
229,89.0,17.0,100.0,107.45,83.1,107.0,5274,45.9
230,90.0,17.0,100.0,108.31,83.5,112.0,5357,45.5
231,90.0,17.0,17.3,13.67,30.6,101.0,5365,44.3
232,90.0,17.0,16.9,11.05,29.4,43.0,4457,41.6
233,89.0,17.0,17.6,6.46,25.5,43.0,2438,34.9
234,89.0,17.0,100.0,91.93,83.5,67.0,4248,37.3
235,90.0,17.0,17.6,13.92,30.6,54.0,5264,40.8
236,90.0,17.0,18.8,9.81,27.8,38.0,3789,38.8
237,90.0,17.0,100.0,81.62,83.5,68.0,3923,37.6
238,91.0,17.0,17.6,15.66,31.4,59.0,5786,41.6
239,92.0,17.0,18.0,10.9,29.4,18.0,4157,38.4
240,92.0,17.0,51.4,6.39,23.5,17.0,730,32.9
241,92.0,17.0,94.5,23.21,34.9,21.0,1790,32.5
242,93.0,17.0,38.0,4.22,19.6,17.0,830,34.5
243,94.0,17.0,36.5,4.04,20.4,20.0,790,33.3
244,95.0,17.0,34.9,4.04,19.6,14.0,815,33.3
245,95.0,17.0,39.6,4.35,20.4,0.0,784,33.3
246,96.0,17.0,51.0,10.69,31.8,6.0,762,32.2
247,96.0,17.0,34.9,3.55,19.2,0.0,795,32.2
248,96.0,17.0,39.6,4.53,20.8,0.0,797,33.7
249,97.0,17.0,0.0,0.0,23.9,0.0,0,34.5
