,AIR_INTAKE_TEMP,AMBIENT_AIR_TEMP,ENGINE_COOLANT_TEMP,ENGINE_LOAD,EQUIV_RATIO,MAF,SPEED,THROTTLE_POS,FUEL_LEVEL,INTAKE_MANIFOLD_PRESSURE,ENGINE_RPM
1,34.0,4.0,95.0,42.0,1.0,4.73,0.0,21.6,56.1,37.0,807
2,32.0,4.0,94.0,50.6,1.0,11.51,9.0,29.8,56.1,37.0,1559
3,32.0,4.0,93.0,41.2,1.0,10.29,10.0,29.0,56.9,46.0,1692
4,32.0,4.0,91.0,55.7,1.0,7.25,11.0,25.9,56.9,52.0,863
5,32.0,4.0,90.0,69.8,1.0,9.2,8.0,27.5,57.3,66.0,955
6,32.0,4.0,90.0,26.3,1.0,9.39,9.0,29.8,58.0,51.0,777
8,32.0,4.0,89.0,49.4,1.0,16.1,12.0,31.8,60.0,43.0,2106
9,32.0,4.0,89.0,62.4,1.0,9.48,15.0,28.2,60.0,53.0,1080
10,31.0,4.0,89.0,61.2,1.0,12.41,20.0,30.2,60.4,50.0,1384
11,32.0,4.0,89.0,56.5,1.0,14.34,18.0,31.0,60.8,37.0,1727
12,32.0,4.0,89.0,61.2,1.0,8.45,20.0,27.1,60.4,54.0,934
13,32.0,4.0,89.0,63.5,1.0,9.5,23.0,28.2,60.0,49.0,1040
14,31.0,4.0,89.0,57.3,1.0,10.11,28.0,28.6,59.6,48.0,1204
15,31.0,4.0,89.0,54.1,1.0,11.63,33.0,29.8,59.6,20.0,1464
17,33.0,4.0,88.0,21.6,1.0,3.81,34.0,19.2,58.4,20.0,1098
18,32.0,4.0,85.0,38.0,1.0,8.33,31.0,26.7,56.5,31.0,1486
19,32.0,4.0,85.0,36.9,1.0,8.52,32.0,27.1,56.5,27.0,1569
20,32.0,4.0,84.0,30.2,1.0,7.09,32.0,25.5,56.1,28.0,1579
21,32.0,4.0,84.0,31.8,1.0,7.1,32.0,25.5,56.1,28.0,1572
22,32.0,4.0,83.0,32.2,1.0,7.48,32.0,25.9,55.7,29.0,1570
24,32.0,4.0,83.0,32.2,1.0,7.6,35.0,26.3,55.7,28.0,1628
25,32.0,4.0,83.0,22.4,1.0,4.37,36.0,22.0,55.7,20.0,1704
26,33.0,4.0,82.0,20.0,1.0,3.26,37.0,19.2,55.7,19.0,1204
28,33.0,4.0,82.0,18.8,1.0,3.59,36.0,20.4,55.7,20.0,1256
29,33.0,4.0,82.0,20.4,1.0,3.51,34.0,20.0,55.3,20.0,1207
30,33.0,4.0,81.0,22.0,1.0,3.57,32.0,19.2,55.3,35.0,1108
32,32.0,4.0,81.0,50.2,1.0,7.71,33.0,26.7,55.3,44.0,1078
33,32.0,4.0,81.0,49.4,1.0,7.81,32.0,26.7,55.3,33.0,1092
34,33.0,4.0,81.0,18.0,1.0,3.08,28.0,18.4,55.3,21.0,1058
35,34.0,4.0,81.0,23.5,1.0,3.46,24.0,18.8,55.3,33.0,924
36,33.0,4.0,81.0,60.4,1.0,10.3,28.0,29.0,54.9,48.0,1212
37,32.0,4.0,80.0,58.4,1.0,12.06,33.0,30.2,55.3,21.0,1443
38,32.0,4.0,80.0,38.8,1.0,6.32,34.0,24.7,55.3,40.0,1097
40,32.0,4.0,80.0,44.7,1.0,7.18,34.0,25.9,55.3,38.0,1134
41,32.0,4.0,80.0,44.7,1.0,7.12,34.0,25.5,55.3,39.0,1124
43,33.0,4.0,81.0,19.6,1.0,2.77,31.0,18.4,55.3,21.0,1021
44,33.0,4.0,81.0,43.1,1.0,7.39,27.0,26.3,55.3,57.0,1251
45,32.0,4.0,81.0,69.0,1.0,14.05,29.0,31.0,55.7,62.0,1380
46,32.0,4.0,81.0,76.1,1.0,16.44,30.0,32.2,56.5,64.0,1481
47,32.0,4.0,81.0,76.9,1.0,17.29,30.0,32.5,57.6,63.0,1484
49,32.0,4.0,81.0,77.6,1.0,17.64,31.0,32.5,58.8,59.0,1561
50,32.0,4.0,81.0,68.2,1.0,13.69,25.0,29.8,59.2,20.0,1540
51,33.0,4.0,82.0,18.8,1.0,3.25,19.0,18.8,59.2,53.0,1091
52,32.0,4.0,82.0,74.1,1.0,10.73,27.0,29.8,58.8,55.0,980
53,33.0,4.0,82.0,48.6,1.0,8.62,31.0,25.9,58.8,27.0,1414
54,33.0,4.0,82.0,19.6,1.0,3.17,34.0,18.8,58.4,21.0,1060
55,33.0,4.0,82.0,22.7,1.0,3.58,37.0,19.6,58.0,20.0,1156
56,33.0,4.0,82.0,19.2,1.0,3.54,39.0,20.4,57.3,20.0,1245
57,33.0,4.0,82.0,19.2,1.0,3.73,39.0,20.8,56.9,20.0,1321
58,33.0,4.0,82.0,19.2,1.0,3.54,33.0,20.4,56.5,21.0,1260
