,AIR_INTAKE_TEMP,AMBIENT_AIR_TEMP,ENGINE_COOLANT_TEMP,ENGINE_LOAD,EQUIV_RATIO,MAF,SPEED,THROTTLE_POS,FUEL_LEVEL,INTAKE_MANIFOLD_PRESSURE,ENGINE_RPM
59,34.0,4.0,82.0,14.1,1.0,2.74,34.0,18.8,56.1,23.0,996
60,34.0,4.0,82.0,26.3,1.0,3.56,33.0,19.2,56.1,24.0,930
61,34.0,4.0,82.0,26.3,1.0,3.37,32.0,19.2,55.7,25.0,901
62,34.0,4.0,82.0,28.2,1.0,3.41,32.0,19.2,55.7,26.0,879
64,35.0,4.0,82.0,27.1,1.0,3.5,32.0,19.2,55.7,24.0,889
65,33.0,4.0,82.0,28.6,1.0,3.0,31.0,19.6,55.7,75.0,796
66,33.0,4.0,82.0,92.5,1.0,14.61,32.0,32.2,56.1,53.0,1071
68,33.0,4.0,82.0,18.0,1.0,3.84,25.0,21.6,56.5,21.0,1514
70,34.0,4.0,82.0,40.8,1.0,4.36,0.0,20.8,55.3,35.0,788
71,34.0,4.0,82.0,36.9,1.0,4.38,0.0,20.4,54.9,34.0,818
72,34.0,4.0,82.0,37.3,1.0,4.07,0.0,20.4,54.5,32.0,814
73,35.0,4.0,82.0,37.3,1.0,4.1,0.0,20.4,54.5,32.0,792
74,35.0,4.0,82.0,36.1,1.0,4.26,0.0,20.4,54.5,33.0,803
76,34.0,4.0,83.0,40.8,1.0,4.66,12.0,21.2,54.5,24.0,797
77,33.0,4.0,83.0,18.8,1.0,4.02,16.0,22.0,54.9,36.0,1062
78,33.0,4.0,83.0,51.4,1.0,10.28,23.0,29.0,54.9,46.0,1356
79,33.0,4.0,83.0,18.8,1.0,3.51,26.0,20.0,55.3,55.0,1227
80,32.0,4.0,83.0,63.5,1.0,12.46,30.0,30.2,55.7,33.0,1342
81,33.0,4.0,83.0,16.1,1.0,3.31,25.0,20.8,56.1,21.0,1401
82,34.0,4.0,83.0,20.4,1.0,2.95,17.0,18.8,55.7,44.0,1109
83,33.0,4.0,84.0,85.1,1.0,11.55,23.0,30.6,55.7,64.0,935
84,32.0,4.0,84.0,74.1,1.0,12.86,27.0,30.6,56.5,58.0,1187
85,32.0,4.0,84.0,68.2,1.0,13.71,29.0,31.0,57.3,55.0,1359
88,32.0,4.0,84.0,64.3,1.0,13.61,30.0,31.0,58.4,40.0,1477
90,33.0,4.0,84.0,36.5,1.0,4.04,29.0,18.4,58.4,24.0,963
91,34.0,4.0,84.0,26.3,1.0,3.16,26.0,18.8,57.6,26.0,899
92,34.0,4.0,84.0,39.6,1.0,4.41,26.0,20.0,57.6,31.0,734
93,33.0,4.0,84.0,36.9,1.0,7.09,30.0,25.5,57.3,30.0,1348
94,33.0,4.0,84.0,33.7,1.0,7.63,33.0,25.9,56.9,17.0,1536
95,33.0,4.0,84.0,18.0,1.0,4.16,30.0,22.0,56.9,20.0,1570
96,33.0,4.0,84.0,18.0,1.0,4.01,27.0,21.2,56.5,21.0,1442
97,33.0,4.0,83.0,19.6,1.0,3.61,23.0,20.4,56.1,20.0,1282
98,33.0,4.0,83.0,20.8,1.0,3.66,20.0,19.2,56.1,30.0,1109
99,33.0,4.0,83.0,37.6,1.0,5.38,20.0,23.1,56.1,34.0,1001
101,33.0,4.0,83.0,45.1,1.0,6.6,9.0,25.9,56.1,29.0,1004
102,34.0,4.0,83.0,38.0,1.0,4.4,0.0,20.4,56.1,36.0,782
104,32.0,4.0,84.0,62.7,1.0,16.79,9.0,32.2,57.3,53.0,1767
105,32.0,4.0,84.0,69.0,1.0,11.82,17.0,30.2,58.0,19.0,1183
106,33.0,4.0,84.0,43.1,1.0,5.52,9.0,24.7,57.6,41.0,831
107,32.0,4.0,84.0,77.6,1.0,14.86,22.0,32.5,55.7,69.0,984
109,32.0,4.0,84.0,62.0,1.0,13.87,32.0,31.0,56.9,35.0,1515
110,32.0,4.0,85.0,80.0,1.0,12.14,35.0,30.6,56.9,56.0,1083
111,32.0,4.0,85.0,64.3,1.0,11.01,36.0,29.4,57.3,49.0,1187
112,32.0,4.0,85.0,51.4,1.0,8.4,34.0,27.1,57.3,18.0,1226
113,32.0,4.0,85.0,41.2,1.0,7.47,34.0,26.3,56.9,40.0,1100
114,32.0,4.0,85.0,45.5,1.0,7.73,36.0,26.3,56.9,38.0,1155
115,32.0,4.0,85.0,45.5,1.0,7.96,37.0,26.7,56.9,20.0,1244
116,32.0,4.0,85.0,37.3,1.0,6.62,38.0,25.1,56.9,31.0,1243
117,32.0,4.0,84.0,15.3,1.0,3.14,38.0,19.6,56.5,35.0,1252
118,32.0,4.0,84.0,39.6,1.0,7.71,40.0,26.3,56.5,26.0,1307
119,32.0,4.0,84.0,18.0,1.0,3.4,37.0,20.4,56.5,19.0,1309
121,33.0,4.0,83.0,36.1,1.0,4.0,31.0,19.2,56.1,19.0,836
122,33.0,4.0,83.0,18.0,1.0,3.5,24.0,20.4,56.1,19.0,1300
123,33.0,4.0,83.0,20.8,1.0,3.42,24.0,19.6,55.7,48.0,1160
124,33.0,4.0,82.0,53.7,1.0,9.93,29.0,28.6,55.7,41.0,1255
125,32.0,4.0,82.0,49.0,1.0,6.59,35.0,25.1,55.3,45.0,929
127,33.0,4.0,83.0,23.9,1.0,1.98,31.0,17.6,55.3,27.0,933
128,32.0,4.0,83.0,47.5,1.0,11.04,34.0,30.6,54.9,53.0,1189
129,32.0,4.0,83.0,62.7,1.0,16.6,41.0,32.2,55.3,53.0,1778
131,33.0,4.0,82.0,21.2,1.0,3.34,39.0,18.8,56.1,39.0,1135
132,33.0,4.0,82.0,45.5,1.0,7.05,38.0,25.9,56.1,22.0,1096
133,33.0,4.0,82.0,18.8,1.0,2.94,37.0,18.8,56.1,30.0,1025
134,32.0,4.0,82.0,46.3,1.0,8.25,36.0,27.1,56.1,38.0,1185
135,32.0,4.0,83.0,46.3,1.0,8.38,36.0,26.7,56.1,39.0,1199
136,32.0,4.0,83.0,40.8,1.0,7.09,35.0,25.5,56.1,18.0,1229
137,33.0,4.0,83.0,20.4,1.0,3.23,32.0,18.8,55.7,31.0,1137
138,33.0,4.0,83.0,19.2,1.0,4.03,29.0,21.6,55.3,28.0,1540
139,32.0,4.0,82.0,40.4,1.0,8.37,31.0,26.7,54.9,34.0,1431
140,32.0,4.0,82.0,41.6,1.0,9.46,32.0,27.8,55.3,23.0,1543
141,32.0,4.0,82.0,41.2,1.0,7.24,34.0,25.9,55.3,51.0,1074
142,32.0,4.0,83.0,47.8,1.0,9.8,42.0,28.2,55.7,27.0,1419
143,32.0,4.0,82.0,17.3,1.0,3.48,39.0,20.4,55.7,21.0,1380
144,32.0,4.0,82.0,19.2,1.0,3.65,35.0,20.0,55.7,34.0,1244
145,32.0,4.0,82.0,44.7,1.0,11.36,36.0,29.0,55.3,29.0,1760
147,32.0,4.0,82.0,32.9,1.0,8.54,36.0,27.5,55.7,29.0,1751
148,32.0,4.0,82.0,19.6,1.0,3.5,34.0,18.8,55.7,36.0,1183
149,32.0,4.0,83.0,39.6,1.0,6.79,35.0,25.1,55.7,35.0,1139
150,32.0,4.0,83.0,41.6,1.0,6.97,36.0,25.5,55.7,35.0,1174
151,32.0,4.0,82.0,40.8,1.0,7.31,37.0,25.9,55.7,35.0,1238
152,34.0,4.0,82.0,36.9,1.0,4.11,0.0,20.4,54.1,33.0,797
153,34.0,4.0,83.0,35.7,1.0,4.21,0.0,20.4,54.1,32.0,807
154,33.0,4.0,83.0,42.0,1.0,6.29,11.0,26.7,54.1,56.0,781
155,32.0,4.0,83.0,14.1,1.0,3.22,19.0,23.1,55.3,57.0,1330
156,31.0,4.0,82.0,69.8,1.0,19.96,27.0,32.5,56.1,55.0,1867
157,31.0,4.0,82.0,60.4,1.0,12.29,32.0,30.2,56.5,47.0,1391
158,31.0,4.0,82.0,53.7,1.0,12.65,35.0,30.2,56.5,43.0,1609
160,31.0,4.0,82.0,55.7,1.0,13.38,34.0,30.6,56.9,50.0,1649
161,31.0,4.0,83.0,59.6,1.0,14.03,31.0,31.0,57.3,54.0,1537
163,31.0,4.0,83.0,62.4,1.0,14.13,31.0,31.0,57.6,49.0,1563
164,31.0,4.0,83.0,57.6,1.0,13.41,33.0,30.6,58.0,45.0,1632
165,31.0,4.0,83.0,54.5,1.0,12.71,32.0,30.6,58.0,46.0,1604
166,31.0,4.0,83.0,54.1,1.0,12.83,33.0,30.2,58.0,43.0,1611
167,31.0,4.0,83.0,50.6,1.0,12.31,35.0,30.2,58.4,24.0,1650
168,31.0,4.0,83.0,21.6,1.0,2.77,33.0,19.2,58.0,41.0,1031
169,31.0,4.0,83.0,47.5,1.0,7.67,33.0,26.3,57.6,28.0,1099
170,32.0,4.0,83.0,19.6,1.0,3.1,30.0,18.8,57.6,21.0,1068
171,33.0,4.0,83.0,24.7,1.0,4.02,22.0,19.6,57.3,20.0,803
172,33.0,4.0,83.0,26.7,1.0,3.3,12.0,19.2,56.5,34.0,847
173,33.0,4.0,83.0,38.4,1.0,4.14,4.0,20.8,55.7,32.0,777
175,33.0,4.0,83.0,36.9,1.0,4.15,0.0,20.4,55.3,32.0,798
176,32.0,4.0,83.0,23.9,1.0,3.5,24.0,19.2,55.3,26.0,1237
177,33.0,4.0,83.0,37.6,1.0,4.08,13.0,20.4,54.9,33.0,789
179,32.0,4.0,83.0,49.8,1.0,8.84,18.0,22.7,54.9,55.0,1640
180,31.0,4.0,83.0,63.9,1.0,10.38,26.0,29.0,54.9,51.0,1109
181,31.0,4.0,83.0,59.6,1.0,11.72,30.0,29.8,55.7,32.0,1346
183,31.0,4.0,83.0,37.6,1.0,8.27,30.0,26.7,56.1,33.0,1501
184,31.0,4.0,83.0,39.2,1.0,9.01,31.0,27.5,56.5,33.0,1539
185,31.0,4.0,83.0,43.1,1.0,9.67,30.0,28.2,56.5,38.0,1526
186,31.0,4.0,83.0,50.2,1.0,10.95,29.0,29.4,56.5,43.0,1469
187,31.0,4.0,83.0,48.6,1.0,10.25,29.0,28.6,56.9,42.0,1451
188,31.0,4.0,83.0,20.8,1.0,3.17,25.0,20.0,56.9,20.0,1424
189,32.0,4.0,83.0,19.2,1.0,3.7,18.0,19.6,56.9,33.0,1209
191,32.0,4.0,83.0,56.1,1.0,9.02,26.0,27.1,55.7,20.0,1207
192,32.0,4.0,83.0,18.0,1.0,3.27,27.0,20.0,55.7,32.0,1253
193,32.0,4.0,83.0,32.5,1.0,6.82,31.0,25.1,55.7,25.0,1373
194,32.0,4.0,83.0,15.3,1.0,4.0,33.0,22.0,55.7,20.0,1570
195,32.0,4.0,83.0,24.7,1.0,3.52,34.0,19.6,55.7,20.0,1125
196,32.0,4.0,83.0,20.8,1.0,3.45,35.0,19.6,55.7,20.0,1162
197,33.0,4.0,82.0,21.2,1.0,3.58,32.0,19.2,55.3,21.0,1113
198,33.0,4.0,82.0,20.0,1.0,3.27,31.0,18.8,55.3,21.0,1067
199,33.0,4.0,82.0,19.6,1.0,3.05,31.0,18.8,55.3,22.0,1040
200,33.0,4.0,82.0,21.6,1.0,3.16,33.0,18.8,54.9,20.0,1058
201,33.0,4.0,82.0,23.1,1.0,3.55,32.0,19.2,54.9,22.0,1086
202,33.0,4.0,82.0,22.4,1.0,3.29,31.0,19.2,54.9,23.0,1081
203,32.0,4.0,82.0,36.5,1.0,8.17,31.0,26.7,54.9,31.0,1527
204,31.0,4.0,82.0,36.9,1.0,8.46,30.0,27.1,54.9,37.0,1538
205,31.0,4.0,82.0,45.1,1.0,9.82,30.0,28.2,55.3,39.0,1484
206,31.0,4.0,82.0,48.2,1.0,10.4,30.0,29.0,55.3,40.0,1479
207,31.0,4.0,82.0,47.1,1.0,10.56,31.0,29.0,55.7,30.0,1518
208,32.0,4.0,82.0,20.4,1.0,1.98,29.0,18.8,55.7,36.0,998
209,32.0,4.0,82.0,41.2,1.0,3.9,26.0,17.6,55.7,25.0,950
210,33.0,4.0,83.0,40.8,1.0,4.26,20.0,19.6,55.7,22.0,771
211,33.0,4.0,83.0,22.4,1.0,3.21,15.0,19.2,55.3,29.0,928
212,33.0,4.0,83.0,37.6,1.0,4.36,11.0,21.6,55.3,34.0,720
213,33.0,4.0,83.0,40.4,1.0,4.69,6.0,20.8,55.3,33.0,789
214,33.0,4.0,83.0,34.5,1.0,3.83,3.0,20.0,54.9,31.0,810
215,33.0,4.0,83.0,38.8,1.0,4.06,1.0,20.4,54.9,33.0,793
216,33.0,4.0,83.0,38.4,1.0,4.3,0.0,20.4,54.9,33.0,798
217,33.0,4.0,83.0,36.9,1.0,4.34,0.0,20.4,54.9,31.0,805
218,33.0,4.0,83.0,36.9,1.0,3.94,0.0,20.4,55.3,31.0,809
219,33.0,4.0,83.0,36.5,1.0,4.27,0.0,20.4,55.3,32.0,801
220,33.0,4.0,83.0,38.0,1.0,4.29,0.0,20.4,55.3,31.0,804
222,33.0,4.0,83.0,37.3,1.0,4.26,0.0,20.4,55.7,31.0,779
223,33.0,4.0,83.0,40.4,1.0,4.31,0.0,20.4,55.7,38.0,786
224,32.0,4.0,84.0,79.6,1.0,7.95,13.0,28.6,55.7,48.0,723
225,31.0,4.0,84.0,55.3,1.0,12.74,23.0,30.6,56.9,56.0,1196
227,31.0,4.0,84.0,66.7,1.0,13.04,31.0,30.6,57.3,52.0,1330
229,31.0,4.0,85.0,51.8,1.0,8.4,33.0,27.1,57.6,43.0,1108
230,31.0,4.0,85.0,51.0,1.0,8.21,33.0,26.7,57.6,44.0,1111
231,31.0,4.0,86.0,50.6,1.0,8.39,34.0,27.1,57.3,45.0,1122
232,31.0,4.0,86.0,54.5,1.0,8.88,34.0,27.5,57.3,45.0,1122
233,31.0,4.0,86.0,52.2,1.0,8.78,35.0,27.5,57.3,45.0,1144
234,31.0,4.0,86.0,51.8,1.0,8.97,37.0,27.5,57.3,44.0,1210
235,31.0,4.0,85.0,49.8,1.0,9.31,39.0,27.8,57.3,43.0,1256
236,31.0,4.0,85.0,51.0,1.0,9.48,39.0,28.2,57.3,42.0,1296
237,31.0,4.0,85.0,50.6,1.0,9.54,36.0,28.2,57.3,37.0,1293
238,31.0,4.0,85.0,46.7,1.0,12.1,34.0,29.8,57.3,45.0,1766
239,31.0,4.0,84.0,53.7,1.0,13.35,32.0,30.6,57.3,46.0,1666
241,30.0,4.0,84.0,55.3,1.0,13.76,37.0,30.6,57.6,43.0,1683
243,31.0,4.0,84.0,47.5,1.0,8.44,38.0,27.1,57.6,39.0,1236
244,31.0,4.0,84.0,47.8,1.0,8.71,38.0,27.5,57.6,41.0,1268
245,31.0,4.0,84.0,45.9,1.0,8.84,39.0,27.5,57.6,20.0,1296
247,31.0,4.0,84.0,44.7,1.0,7.75,37.0,26.3,56.9,38.0,1219
249,31.0,4.0,84.0,52.2,1.0,9.87,40.0,28.6,56.9,21.0,1325
250,32.0,4.0,84.0,18.0,1.0,3.3,37.0,19.2,56.5,21.0,1304
251,31.0,4.0,84.0,20.0,1.0,3.43,36.0,20.0,56.5,35.0,1209
252,31.0,4.0,84.0,38.8,1.0,4.79,38.0,20.0,56.1,31.0,1234
253,31.0,4.0,83.0,27.1,1.0,5.0,38.0,22.4,56.1,19.0,1269
254,31.0,4.0,83.0,18.0,1.0,3.48,39.0,20.4,55.7,25.0,1270
255,31.0,4.0,83.0,28.6,1.0,5.43,38.0,23.1,55.7,33.0,1295
256,31.0,4.0,82.0,38.8,1.0,7.43,36.0,25.5,55.7,35.0,1278
257,31.0,4.0,82.0,59.6,1.0,14.06,34.0,30.6,56.1,46.0,1610
258,31.0,4.0,82.0,48.6,1.0,12.66,37.0,30.2,56.9,19.0,1734
259,31.0,4.0,82.0,20.4,1.0,5.51,38.0,23.5,56.9,18.0,1848
260,31.0,4.0,82.0,17.6,1.0,4.93,36.0,22.7,56.5,19.0,1849
261,31.0,4.0,82.0,18.0,1.0,4.72,34.0,22.4,56.1,18.0,1758
263,31.0,4.0,82.0,27.1,1.0,5.93,32.0,24.3,55.7,23.0,1523
264,31.0,4.0,82.0,26.3,1.0,6.23,32.0,24.3,55.7,23.0,1578
265,31.0,4.0,82.0,25.9,1.0,6.37,33.0,24.7,55.3,23.0,1608
266,31.0,4.0,82.0,26.3,1.0,6.48,33.0,25.1,55.3,25.0,1650
267,31.0,4.0,82.0,17.6,1.0,4.39,29.0,21.6,55.3,19.0,1621
268,31.0,4.0,82.0,18.8,1.0,3.92,24.0,21.2,55.3,21.0,1421
269,32.0,4.0,82.0,21.6,1.0,3.6,15.0,19.6,54.5,37.0,1169
270,32.0,4.0,82.0,38.8,1.0,4.23,10.0,20.4,52.5,47.0,801
272,31.0,4.0,82.0,58.8,1.0,11.41,16.0,29.8,53.7,27.0,1316
273,31.0,4.0,83.0,83.1,1.0,12.97,28.0,31.0,54.5,61.0,1095
274,31.0,4.0,83.0,54.5,1.0,9.12,34.0,27.5,56.9,47.0,1157
277,31.0,4.0,83.0,69.0,1.0,10.39,31.0,29.0,57.3,61.0,1059
278,31.0,4.0,83.0,69.8,1.0,10.47,31.0,29.0,57.3,59.0,1021
279,31.0,4.0,83.0,66.3,1.0,11.08,39.0,29.4,57.3,47.0,1137
280,31.0,4.0,83.0,15.3,1.0,3.03,39.0,20.0,57.3,20.0,1304
281,31.0,4.0,83.0,19.6,1.0,3.62,39.0,20.4,56.9,21.0,1301
282,31.0,4.0,83.0,19.2,1.0,3.52,37.0,20.4,56.5,20.0,1284
283,31.0,4.0,83.0,40.8,1.0,7.34,35.0,25.9,56.5,34.0,1213
284,31.0,4.0,82.0,40.0,1.0,6.73,31.0,25.1,56.1,23.0,1160
285,31.0,4.0,82.0,46.7,1.0,11.02,30.0,29.4,56.1,51.0,1512
286,30.0,4.0,82.0,59.2,1.0,13.38,33.0,30.6,56.1,48.0,1528
287,30.0,4.0,83.0,58.0,1.0,14.29,36.0,31.0,56.5,45.0,1687
288,31.0,4.0,83.0,28.2,1.0,4.82,35.0,21.6,56.9,32.0,1777
289,31.0,4.0,83.0,40.4,1.0,6.72,34.0,25.1,56.5,35.0,1153
290,31.0,4.0,83.0,40.4,1.0,6.45,33.0,24.7,56.5,34.0,1127
291,31.0,4.0,83.0,40.4,1.0,6.42,32.0,24.3,56.1,37.0,1103
294,32.0,4.0,83.0,17.6,1.0,2.76,33.0,18.8,55.7,20.0,1040
295,32.0,4.0,83.0,22.7,1.0,3.71,36.0,19.2,55.3,21.0,1140
296,32.0,4.0,83.0,18.8,1.0,3.37,37.0,20.0,55.3,21.0,1214
297,32.0,4.0,83.0,19.6,1.0,3.57,36.0,20.4,55.3,20.0,1248
298,32.0,4.0,83.0,20.0,1.0,3.49,32.0,20.0,55.3,20.0,1179
300,33.0,4.0,83.0,21.2,1.0,2.89,26.0,18.8,54.9,28.0,936
301,32.0,4.0,83.0,37.3,1.0,4.58,25.0,22.7,54.9,37.0,816
302,31.0,4.0,83.0,42.4,1.0,7.78,28.0,26.3,54.9,34.0,1277
303,31.0,4.0,83.0,40.4,1.0,8.3,32.0,26.7,55.3,33.0,1422
304,31.0,4.0,83.0,36.9,1.0,8.89,32.0,27.5,55.3,22.0,1626
305,31.0,4.0,82.0,36.1,1.0,5.24,33.0,23.1,55.3,30.0,1070
306,31.0,4.0,82.0,33.3,1.0,5.41,33.0,23.1,54.9,30.0,1102
307,31.0,4.0,82.0,31.4,1.0,5.17,33.0,22.7,54.9,22.0,1124
308,32.0,4.0,83.0,23.5,1.0,3.76,33.0,19.6,54.9,20.0,1124
309,32.0,4.0,83.0,22.7,1.0,3.42,31.0,19.2,54.9,23.0,1070
310,32.0,4.0,83.0,27.5,1.0,3.89,29.0,19.6,54.9,24.0,1035
311,32.0,4.0,83.0,32.9,1.0,4.72,29.0,21.6,54.9,29.0,983
313,32.0,4.0,83.0,33.3,1.0,4.76,29.0,22.0,54.9,36.0,972
314,32.0,4.0,83.0,40.0,1.0,5.64,29.0,23.1,54.9,34.0,972
315,32.0,4.0,83.0,30.6,1.0,1.98,27.0,17.3,54.9,23.0,969
316,33.0,4.0,83.0,27.1,1.0,3.42,22.0,19.2,54.9,21.0,899
317,33.0,4.0,83.0,20.0,1.0,3.72,13.0,18.8,54.5,21.0,901
318,33.0,4.0,83.0,21.2,1.0,2.88,13.0,18.8,54.1,20.0,1003
319,33.0,4.0,83.0,34.1,1.0,5.11,3.0,21.6,53.3,38.0,819
320,32.0,4.0,82.0,62.7,1.0,9.83,12.0,28.6,52.5,24.0,851
322,31.0,4.0,82.0,30.2,1.0,5.58,25.0,24.7,52.9,39.0,1154
324,31.0,4.0,82.0,53.7,1.0,10.87,28.0,29.4,53.7,45.0,1396
325,30.0,4.0,82.0,53.7,1.0,11.29,29.0,29.4,54.1,46.0,1439
326,31.0,4.0,83.0,62.7,1.0,8.41,30.0,27.1,55.3,46.0,1065
327,31.0,4.0,83.0,54.1,1.0,7.87,29.0,26.7,55.3,47.0,1014
328,31.0,4.0,84.0,63.1,1.0,8.83,26.0,27.5,55.3,41.0,982
329,31.0,4.0,84.0,62.7,1.0,10.65,26.0,29.4,55.3,52.0,1308
330,30.0,4.0,84.0,60.4,1.0,11.7,27.0,29.8,56.1,52.0,1324
331,30.0,4.0,84.0,60.0,1.0,11.61,27.0,29.8,56.5,49.0,1341
332,30.0,4.0,84.0,60.0,1.0,11.89,28.0,29.8,56.9,50.0,1361
333,31.0,4.0,84.0,45.5,1.0,7.54,23.0,24.7,57.3,19.0,1403
334,31.0,4.0,84.0,22.4,1.0,3.48,18.0,18.4,56.9,35.0,1064
335,31.0,4.0,84.0,48.6,1.0,5.92,18.0,24.3,56.5,53.0,890
336,31.0,4.0,84.0,60.4,1.0,8.26,20.0,26.7,56.5,40.0,928
337,32.0,4.0,84.0,20.8,1.0,2.53,16.0,17.3,56.5,38.0,940
338,32.0,4.0,85.0,28.2,1.0,2.94,15.0,17.6,56.1,36.0,824
339,33.0,4.0,85.0,43.9,1.0,4.72,10.0,22.0,56.1,36.0,795
341,33.0,4.0,85.0,42.4,1.0,4.64,0.0,21.2,54.9,32.0,808
342,33.0,4.0,85.0,37.6,1.0,4.28,0.0,20.4,54.5,32.0,807
343,33.0,4.0,85.0,36.5,1.0,4.12,0.0,20.4,54.5,34.0,822
344,33.0,4.0,85.0,38.4,1.0,4.35,2.0,20.4,54.5,50.0,797
345,33.0,4.0,85.0,30.6,1.0,4.36,5.0,20.8,54.5,33.0,726
347,33.0,4.0,86.0,38.4,1.0,4.13,7.0,20.4,54.5,32.0,776
348,33.0,4.0,86.0,39.6,1.0,4.49,8.0,20.4,54.5,34.0,782
349,33.0,4.0,86.0,39.2,1.0,4.34,7.0,20.4,54.5,32.0,783
350,33.0,4.0,87.0,36.5,1.0,4.26,4.0,20.4,54.5,36.0,772
351,33.0,4.0,87.0,40.4,1.0,4.54,0.0,20.8,54.5,36.0,793
352,33.0,4.0,88.0,41.6,1.0,4.48,0.0,20.8,54.1,35.0,789
353,33.0,4.0,88.0,34.9,1.0,4.18,0.0,20.4,54.1,37.0,802
354,33.0,4.0,88.0,38.8,1.0,4.38,0.0,20.8,54.1,33.0,794
